Country,Code,Region 1,Region 2,Continent
Afhanistan,AFG,Southern Asia,,Asia
Åland Islands,ALA,Northern Europe,,Europe
Albania,ALB,Southern Europe,,Europe
Algeria,DZA,Northern Africa,,Africa
American Samoa,ASM,Polynesia,,Oceania
Andorra,AND,Southern Europe,,Europe
Angola,AGO,Middle Africa,Sub-Saharan Africa,Africa
Anguilla,AIA,Caribbean,Latin America and the Caribbean,North America
Antarctica,ATA,Antarctica,,Antarctica
Antigua and Barbuda,ATG,Caribbean,Latin America and the Caribbean,North America
Argentina,ARG,South America,Latin America and the Caribbean,South America
Armenia,ARM,Western Asia,,Asia
Aruba,ABW,Caribbean,Latin America and the Caribbean,North America
Australia,AUS,Australia and New Zealand,,Oceania
Austria,AUT,Western Europe,,Europe
Azerbaijan,AZE,Western Asia,,Asia
Bahamas,BHS,Caribbean,Latin America and the Caribbean,North America
Bahrain,BHR,Western Asia,,Asia
Bangladesh,BGD,Southern Asia,,Asia
Barbados,BRB,Caribbean,Latin America and the Caribbean,North America
Belarus,BLR,Eastern Europe,,Europe
Belgium,BEL,Western Europe,,Europe
Belize,BLZ,Central America,Latin America and the Caribbean,North America
Benin,BEN,Western Africa,Sub-Saharan Africa,Africa
Bermuda,BMU,Northern America,,North America
Bhutan,BTN,Southern Asia,,Asia
Bolivia (Plurinational State of),BOL,South America,Latin America and the Caribbean,South America
"Bonaire, Sint Eustatius and Saba",BES,Caribbean,Latin America and the Caribbean,North America
Bosnia and Herzegovina,BIH,Southern Europe,,Europe
Botswana,BWA,Southern Africa,Sub-Saharan Africa,Africa
Bouvet Island,BVT,South America,Latin America and the Caribbean,South America
Brazil,BRA,South America,Latin America and the Caribbean,South America
British Indian Ocean Territory,IOT,Eastern Africa,Sub-Saharan Africa,Africa
British Virgin Islands,VGB,Caribbean,Latin America and the Caribbean,North America
Brunei Darussalam,BRN,South-eastern Asia,,Asia
Bulgaria,BGR,Eastern Europe,,Europe
Burkina Faso,BFA,Western Africa,Sub-Saharan Africa,Africa
Burundi,BDI,Eastern Africa,Sub-Saharan Africa,Africa
Cabo Verde,CPV,Western Africa,Sub-Saharan Africa,Africa
Cambodia,KHM,South-eastern Asia,,Asia
Cameroon,CMR,Middle Africa,Sub-Saharan Africa,Africa
Canada,CAN,Northern America,,North America
Cayman Islands,CYM,Caribbean,Latin America and the Caribbean,North America
Central African Republic,CAF,Middle Africa,Sub-Saharan Africa,Africa
Chad,TCD,Middle Africa,Sub-Saharan Africa,Africa
Chile,CHL,South America,Latin America and the Caribbean,South America
China,CHN,Eastern Asia,,Asia
"China, Hong Kong Special Administrative Region",HKG,Eastern Asia,,Asia
"China, Macao Special Administrative Region",MAC,Eastern Asia,,Asia
Christmas Island,CXR,Australia and New Zealand,,Oceania
Cocos (Keeling) Islands,CCK,Australia and New Zealand,,Oceania
Colombia,COL,South America,Latin America and the Caribbean,South America
Comoros,COM,Eastern Africa,Sub-Saharan Africa,Africa
Congo,COG,Middle Africa,Sub-Saharan Africa,Africa
Cook Islands,COK,Polynesia,,Oceania
Costa Rica,CRI,Central America,Latin America and the Caribbean,North America
Côte d’Ivoire,CIV,Western Africa,Sub-Saharan Africa,Africa
Croatia,HRV,Southern Europe,,Europe
Cuba,CUB,Caribbean,Latin America and the Caribbean,North America
Curaçao,CUW,Caribbean,Latin America and the Caribbean,North America
Cyprus,CYP,Western Asia,,Asia
Czechia,CZE,Eastern Europe,,Europe
Democratic People's Republic of Korea,PRK,Eastern Asia,,Asia
Democratic Republic of the Congo,COD,Middle Africa,Sub-Saharan Africa,Africa
Denmark,DNK,Northern Europe,,Europe
Djibouti,DJI,Eastern Africa,Sub-Saharan Africa,Africa
Dominica,DMA,Caribbean,Latin America and the Caribbean,North America
Dominican Republic,DOM,Caribbean,Latin America and the Caribbean,North America
Ecuador,ECU,South America,Latin America and the Caribbean,South America
Egypt,EGY,Northern Africa,,Africa
El Salvador,SLV,Central America,Latin America and the Caribbean,North America
Equatorial Guinea,GNQ,Middle Africa,Sub-Saharan Africa,Africa
Eritrea,ERI,Eastern Africa,Sub-Saharan Africa,Africa
Estonia,EST,Northern Europe,,Europe
Eswatini,SWZ,Southern Africa,Sub-Saharan Africa,Africa
Ethiopia,ETH,Eastern Africa,Sub-Saharan Africa,Africa
Falkland Islands (Malvinas),FLK,South America,Latin America and the Caribbean,South America
