Year,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Central America,Chile,China,China Hong Kong SAR,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Eastern Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Middle Africa,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Other Asia Pacific,Other Caribbean,Other CIS,Other Europe,Other Middle East,Other Northern Africa,Other South America,Other Southern Africa,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Total Africa,Total Asia Pacific,Total CIS,Total Europe,Total Middle East,Total North America,Total S. & Cent. America,Total World,Trinidad & Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,US,USSR,Uzbekistan,Venezuela,Vietnam,Western Africa
1965,0.03,0.15,,0.06,,,,,,,0.78,,0.02,0.04,,0.03,,,0.02,,,,,,,0.18,0.11,,0.05,,0.01,0.02,0.03,0.02,,,0.27,0.07,,0.06,,,,,0.29,,,0.05,,,,,0.01,,,0.01,,,,,0.05,0.01,,0.06,,,0.51,,0.02,,0.01,,,,,,,,0.01,,0.03,0.2,4.38,1.36,0.14,16.04,0.53,22.69,0.04,,,,,0.03,14.97,4.38,,0.27,,
1966,0.03,0.16,,0.07,,,,,,,0.85,,0.02,0.05,,0.03,,,0.02,,,,,,,0.19,0.13,,0.06,,0.01,0.02,0.03,0.02,,,0.29,0.07,,0.08,,,,,0.31,,,0.1,,,,,0.01,,,0.02,,,,,0.06,0.01,,0.07,,,0.55,,0.03,,0.01,,,,,,,,0.01,,0.04,0.22,4.89,1.55,0.17,17.3,0.57,24.73,0.05,,,,,0.03,16.14,4.89,,0.28,,0.01
1967,0.03,0.17,,0.06,,,,0.02,,0.01,0.91,,0.02,0.05,,0.04,,,0.02,,,,,,,0.22,0.17,,0.08,,0.01,0.02,0.03,0.02,,,0.32,0.07,,0.09,,,,,0.26,,,0.18,,,,,0.02,,,0.02,,,,,0.07,0.01,,0.09,,,0.6,,0.03,,0.01,,,,,,,,0.01,,0.04,0.26,5.38,1.85,0.2,18.21,0.61,26.55,0.05,,,,0.02,0.05,17.04,5.38,,0.31,,0.01
1968,0.03,0.19,,0.07,,,,0.04,,0.01,1.01,,0.02,0.05,,0.04,,,0.02,,,,,,,0.26,0.28,,0.1,,0.01,0.02,0.03,0.02,,,0.37,0.08,,0.11,,,,,0.28,,,0.31,,,,,0.02,,,0.02,0.01,,,,0.08,0.01,,0.12,,0.02,0.64,,0.04,,0.03,,,,,,,,0.02,,0.04,0.28,5.81,2.4,0.26,19.53,0.64,28.96,0.06,,,,0.02,0.11,18.24,5.81,,0.32,,0.01
1969,0.04,0.19,0.01,0.08,,,,0.09,,0.01,1.13,,0.02,0.07,,0.05,,,0.03,,,,,,,0.3,0.4,,0.12,,0.02,0.04,0.04,0.03,,0.01,0.41,0.08,,0.13,,,,,0.35,,,0.45,,,,,0.02,,,0.03,0.01,,,,0.1,0.01,,0.17,,0.03,0.74,,0.05,,0.03,,,,,,,,0.02,,0.04,0.37,6.21,3.09,0.31,21.11,0.66,31.8,0.06,,,,0.02,0.22,19.63,6.21,,0.33,,
1970,0.04,0.21,0.06,0.1,,,,0.14,,0.01,1.25,,0.02,0.1,,0.04,,,0.03,,,,,,,0.34,0.58,,0.13,,0.02,0.05,0.09,0.03,,,0.44,0.13,,0.07,,,,,0.36,,,0.64,,,,,0.02,,,0.04,0.02,0.01,,,0.1,0.01,,0.22,,0.04,0.77,,0.06,,0.04,,,,,,,,0.02,,0.06,0.51,6.82,3.91,0.34,22.3,0.68,34.61,0.07,,,,0.03,0.43,20.7,6.82,,0.31,,
1971,0.04,0.23,0.09,0.12,,,,0.2,,0.01,1.33,,0.02,0.14,,0.05,,,0.04,,,,,,,0.41,0.76,,0.14,,0.02,0.05,0.11,0.03,,,0.46,0.14,,0.07,,,,,0.37,,,0.83,,,,,0.02,,,0.04,0.03,0.01,,,0.1,0.02,,0.24,,0.04,0.82,,0.05,,0.05,,,,0.01,,,,0.04,,0.07,0.61,7.46,4.81,0.38,23.04,0.69,37.05,0.07,,,,0.05,0.69,21.34,7.46,,0.3,,0.01
1972,0.05,0.26,0.13,0.13,,0.02,,0.25,0.01,0.01,1.5,,0.02,0.18,,0.06,,,0.04,,,,,,,0.48,0.98,,0.15,,0.03,0.04,0.12,0.03,,,0.52,0.14,,0.09,,,,,0.4,0.01,,1.08,0.01,,,,0.02,,,0.05,0.04,0.02,,,0.1,0.02,,0.25,,0.04,0.83,,0.05,,0.06,,,,0.04,,,,0.05,,0.09,0.71,7.84,5.86,0.43,23.45,0.73,39.1,0.07,,,,0.05,0.97,21.55,7.84,,0.3,,0.01
1973,0.06,0.29,0.17,0.14,,0.02,,0.3,0.01,0.01,1.59,,0.02,0.22,,0.06,,,0.04,,,,,,,0.57,1.27,,0.17,,0.03,0.03,0.15,0.03,,,0.59,0.19,,0.1,,,0.01,,0.44,0.02,,1.2,0.01,,,,0.04,,,0.06,0.06,0.04,,,0.11,0.02,,0.26,,0.06,0.88,,0.06,,0.07,,,,0.04,,,0.01,0.05,,0.14,0.87,8.53,6.66,0.52,23.41,0.83,40.96,0.07,,,,0.06,1.05,21.38,8.53,,0.37,,0.01
1974,0.07,0.31,0.19,0.15,,0.02,,0.35,0.01,0.02,1.61,,0.02,0.27,,0.06,,,0.05,,,,,,0.02,0.59,1.59,,0.19,,0.03,0.04,0.15,0.03,,,0.66,0.26,,0.1,,,0.01,0.01,0.46,0.02,,1.28,0.01,,,,0.07,,,0.06,0.07,0.04,0.01,,0.12,0.02,,0.27,,0.05,0.91,,0.08,,0.08,,,,0.05,,,0.01,0.06,,0.16,1.09,9.04,7.54,0.55,22.71,0.87,41.96,0.06,,,,0.06,1.26,20.64,9.04,,0.39,,0.01
