Year,Algeria,Argentina,Australia,Azerbaijan,Bahrain,Bangladesh,Bolivia,Brazil,Brunei,Canada,China,Colombia,Denmark,Egypt,Germany,India,Indonesia,Iran,Iraq,Italy,Kazakhstan,Kuwait,Libya,Malaysia,Mexico,Myanmar,Netherlands,Nigeria,Norway,Oman,Other Africa,Other Asia Pacific,Other CIS,Other Europe,Other Middle East,Other S. & Cent. America,Pakistan,Peru,Poland,Qatar,Romania,Russian Federation,Saudi Arabia,Syria,Thailand,Total Africa,Total Asia Pacific,Total CIS,Total Europe,Total Middle East,Total North America,Total S. & Cent. America,Total World,Trinidad & Tobago,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,US,USSR,Uzbekistan,Venezuela,Vietnam,Yemen
1970,0.09,0.21,0.06,,0.02,,,,0.01,1.94,0.10,0.04,,,0.43,0.02,0.05,0.13,0.03,0.45,,0.07,0.01,,0.40,,1.01,,,,,0.20,,0.53,,0.03,0.10,0.01,0.18,0.04,0.78,,0.06,,,0.11,0.54,6.75,3.78,0.37,22.91,0.67,35.14,0.06,,,0.03,0.39,20.57,6.75,,0.31,,
1971,0.09,0.23,0.09,,0.03,,,,0.01,2.13,0.14,,,,0.53,0.02,0.05,0.30,0.03,0.46,,0.07,0.02,,0.39,,1.39,0.01,,,0.01,0.22,,0.55,,0.03,0.10,0.02,0.19,0.04,0.84,,0.05,,,0.13,0.64,7.24,4.61,0.58,23.67,0.69,37.58,0.07,,,0.05,0.66,21.16,7.24,,0.30,,
1972,0.12,0.22,0.13,,0.04,0.02,0.04,0.01,0.02,2.40,0.18,0.06,,,0.64,0.03,0.04,0.41,0.03,0.49,,0.09,0.10,,0.41,,1.85,0.01,,,0.01,0.24,,0.58,,0.03,0.10,0.02,0.20,0.04,0.86,,0.05,,,0.23,0.75,7.55,5.56,0.72,23.90,0.73,39.44,0.07,,,0.05,0.95,21.09,7.55,,0.30,,
1973,0.16,0.24,0.17,,0.06,0.02,0.06,0.01,0.07,2.57,0.22,0.06,,,0.71,0.03,0.06,0.45,0.03,0.53,,0.10,0.15,,0.44,,2.25,0.01,,,0.03,0.25,,0.62,,0.02,0.11,0.02,0.20,0.06,0.91,,0.06,,,0.35,0.93,8.06,6.25,0.82,24.08,0.83,41.33,0.07,,,0.06,1.03,21.07,8.06,,0.37,,
1974,0.18,0.25,0.19,,0.07,0.02,0.06,0.01,0.15,2.52,0.27,0.06,,,0.74,0.03,0.06,0.47,0.03,0.53,,0.10,0.14,0.01,0.47,0.01,2.67,0.01,,,0.03,0.26,,0.64,,0.02,0.12,0.02,0.20,0.05,0.93,,0.08,,,0.37,1.13,8.89,6.94,0.86,23.12,0.88,42.20,0.06,,,0.06,1.24,20.14,8.89,,0.39,,
1975,0.22,0.27,0.21,,0.08,0.02,0.06,0.02,0.19,2.57,0.32,0.05,,,0.69,0.04,0.09,0.49,0.04,0.50,,0.11,0.16,0.01,0.47,0.01,2.89,0.01,,,0.02,0.25,,0.63,,0.03,0.14,0.02,0.20,0.07,1.02,,0.09,,,0.42,1.28,9.86,7.22,0.95,21.69,0.88,42.31,0.06,,,0.06,1.29,18.65,9.86,,0.38,,
1976,0.28,0.26,0.25,,0.08,0.03,0.07,0.02,0.26,2.60,0.37,0.05,,0.01,0.71,0.05,0.09,0.50,0.06,0.54,,0.13,0.16,0.01,0.46,0.01,3.09,0.02,,,0.02,0.28,,0.65,,0.04,0.14,0.02,0.22,0.04,1.11,,0.10,,,0.49,1.47,10.94,7.68,0.99,21.56,0.99,44.13,0.06,,,0.07,1.36,18.50,10.94,,0.47,,
1977,0.27,0.27,0.28,,0.09,0.04,0.07,0.02,0.29,2.73,0.44,0.06,,0.02,0.71,0.05,0.21,0.51,0.04,0.47,,0.14,0.17,0.01,0.49,0.01,3.10,0.03,0.09,,0.02,0.32,,0.70,,0.05,0.15,0.02,0.23,0.06,1.17,,0.14,,,0.50,1.80,11.80,7.91,1.12,21.80,1.07,45.99,0.07,,,0.14,1.43,18.58,11.80,,0.51,,
1978,0.41,0.27,0.30,,0.10,0.04,0.07,0.03,0.29,2.63,0.50,0.08,,0.03,0.73,0.06,0.40,0.32,0.04,0.47,,0.16,0.18,0.09,0.62,0.01,2.84,0.04,0.51,0.01,0.02,0.30,,0.74,,0.05,0.16,0.02,0.25,0.06,1.18,,0.19,,,0.67,2.14,12.69,8.09,1.08,21.75,1.13,47.55,0.09,,,0.20,1.37,18.50,12.69,,0.51,,
1979,0.68,0.25,0.35,,0.11,0.05,0.07,0.03,0.30,2.77,0.53,0.09,,0.04,0.73,0.07,0.58,0.31,0.06,0.46,,0.21,0.23,0.11,0.75,0.01,2.98,0.05,0.74,0.02,0.02,0.27,,0.72,,0.03,0.18,0.02,0.22,0.16,1.13,,0.24,,,1.02,2.43,13.87,8.36,1.32,22.59,1.17,50.76,0.09,,,0.21,1.38,19.06,13.87,,0.57,,
