Year,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Arab World,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean small states,Cayman Islands,Central African Republic,Central Europe and the Baltics,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Early-demographic dividend,East Asia & Pacific,East Asia & Pacific (excluding high income),East Asia & Pacific (IDA & IBRD countries),Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Euro area,Europe & Central Asia,Europe & Central Asia (excluding high income),Europe & Central Asia (IDA & IBRD countries),European Union,Faroe Islands,Fiji,Finland,Fragile and conflict affected situations,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Heavily indebted poor countries (HIPC),High income,Honduras,"Hong Kong SAR, China",Hungary,IBRD only,Iceland,IDA & IBRD total,IDA blend,IDA only,IDA total,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. People’s Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Late-demographic dividend,Latin America & Caribbean,Latin America & Caribbean (excluding high income),Latin America & the Caribbean (IDA & IBRD countries),Latvia,Least developed countries: UN classification,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low & middle income,Low income,Lower middle income,Luxembourg,"Macao SAR, China",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Middle East & North Africa,Middle East & North Africa (excluding high income),Middle East & North Africa (IDA & IBRD countries),Middle income,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Macedonia,Northern Mariana Islands,Norway,Not classified,OECD members,Oman,Other small states,Pacific island small states,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Post-demographic dividend,Pre-demographic dividend,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Small states,Solomon Islands,Somalia,South Africa,South Asia,South Asia (IDA & IBRD),South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sub-Saharan Africa,Sub-Saharan Africa (excluding high income),Sub-Saharan Africa (IDA & IBRD countries),Sudan,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,World,"Yemen, Rep.",Zambia,Zimbabwe
1965,,,,,,,,,,,,3.405572755,4.93090648,,,,,,,4.065201375,,,,,2.860286029,,,,,,,-0.730252523,,,,,2.332657201,,,,,,,,,7.590683669,,-2.726980278,,-0.665000001,2.611176126,,,,0.202839757,,5.449999999,,,-1.891659501,,,,,3.069070662,14.83900446,0.456974673,,,,,,3.666477086,,,,3.986613884,,,4.940588068,,2.703104559,,2.438473696,1.218036622,,3.242329385,26.44478485,,3.220861496,,,,-0.8,,,,2.263942573,,,3.18627451,,,,7.317072443,,,,,9.474758592,306.7631103,2.154374835,-0.455580866,4.988123515,,7.708333264,4.519268307,2.631578947,6.655990943,,,3.578528828,,,13.54820329,,,,,,,2.745932488,2.631578947,,,,,,11.425,,,,,,3.333679329,,4.201860366,,-0.105485232,,,1.602218456,,,1.785565983,3.568038657,,,,2.818598028,,,,,,3.48282122,,17.69230769,,,8.471869328,3.908026394,,3.397489756,,4.373757456,4.103458738,1.958913232,,,4.18722444,,4.353246374,,,,5.568635479,,0.461613217,,3.859298158,16.38996139,2.564102564,,3.424927777,3.666477086,,,,,,,2.113821138,,,0.389105059,,,,,0.178611297,,,,,,,4.069023471,7.020252404,7.020252404,,13.21413526,0.222783306,,,,,,,,-2.446029391,1.934235977,5.012771296,3.414480925,-3.87897595,,,0.166333998,,,,1.781617984,,4.555533684,,,,,,,4.773774554,1.585169264,,56.55655656,,,,,,,,,,
1966,,,,,,,,,,,,3.293413174,2.05481781,,,2.134471719,,,,4.174347619,,,,,6.951871658,,,,,,,2.36410602,4.436860068,,,,3.815659068,,,,,,,,,16.72816827,,15.78010125,,0.182882838,4.191317984,,,,0.506072874,,7.064959697,,,0.262927257,4.479810697,,,,5.453726928,9.036440658,-1.187355436,,,,3.177521008,-1.361867705,3.432369175,,,,3.703356298,,,3.873654019,,2.602000766,,3.644111381,0.239081925,,3.533058578,13.23788546,,4.903408334,,,,0.684261974,,,,8.301835853,,,1.784234657,,,,10.68664742,,,,,10.80184835,1136.254112,-0.388148532,1.983218917,3.054298641,,7.930367544,2.346588934,1.902398677,5.040832059,,,5.014395393,,,11.26138585,,,,,,,2.873194222,3.483776136,,,,,,12.24291377,,,,,,3.331679773,,3.211573979,,0.967969025,,,0.523123579,,,2.504895561,4.215788377,,,,2.888300338,,,,,,-1.013579365,,25.49019608,,,14.38897069,5.762146554,,2.755480775,,10.57142857,9.690346084,3.415367223,,,3.250563343,,4.195067998,,,,7.227621598,,0.193470375,,2.873194222,8.840603749,5.4,,5.039267219,3.844656543,,,,,,,2.866242038,,,1.550387596,,,,,2.005794517,,,,,,,3.489249619,9.014734973,9.014734973,,6.240359156,-0.15560166,,2.479008397,,,,,,1.712463199,4.743833017,6.404808253,4.775984441,3.793381759,,9.777015439,4.035204251,,,,4.09435805,,8.471996215,,,,,,,3.909617792,3.015075377,,73.46269321,,,,,,,,,,
1967,,,,,,,,,,,,3.47826087,3.974672001,,5.437756499,4.258098223,,3.634875153,,2.730302686,,,,,11.2,,,,,,,-4.333753909,-1.089324619,,,,3.579952267,3.207179087,,,,,,,,8.328191364,,36.92652487,,1.208340311,2.291851953,,,,0.704934543,,8.207853558,,0.952456544,1.238344989,1.977741547,,,,3.818138157,0.701897484,1.466916355,,,,1.824043438,0.808678501,2.987546067,,,,3.319317546,,,5.377781834,,2.791777094,,1.977741547,1.407218954,,1.796045507,-8.422485898,,1.841330313,,,,0.485436893,,,,-2.935310981,,,2.091840987,,,,3.320220946,,,,,13.06220248,106,1.59761008,3.290949888,3.18331504,,1.70609316,3.733338321,3.023538961,3.989848089,,,1.759195796,,,10.88244215,,,,,,3.016948475,2.554394731,2.13625866,,,,,,7.296108742,,,,,,2.166156987,,0.815190377,,4.57556214,,,0.693868316,,,1.878532198,3.016948475,,,,2.444279984,,,,,,-0.748276994,,0.833333332,,,-2.808331383,3.455320053,,6.056920063,,0.430663221,-3.726336765,3.176368945,,,4.579269758,,3.656645294,,,,6.811399634,,1.375814627,,1.365267592,9.783602561,6.253953194,,5.526476008,3.634875153,,,,,,1.4529273,-0.515995872,,,2.099236642,,,,,3.342800961,,,,,,,3.538965883,4.500319483,4.500319483,,6.39164209,2.189239332,,3.207179087,,,,,,11.01355589,10.6884058,4.28931923,4.0051927,6.454121306,,12.1875,4.309656824,,-2.318840581,,2.13625866,,13.97489295,,,,,,,2.482115605,2.772785623,,89.27529729,,,,,,,,,,
1968,,,,,,,,,,,,2.521008403,2.764860589,,4.541031463,3.25732899,,7.488743187,,2.701449829,,,,,5.470623502,,,,,,,-0.286713688,6.057268722,,,,4.055299539,5.369919019,,,,,,,,7.447538783,,53.32167271,,4.093891431,5.350454789,,,,3.766666666,,8.005207104,,5.369919019,0.035976399,2.079221858,,,,4.31765613,-1.675759425,2.537680713,,,,3.449425095,0.182612666,3.24282618,,,,3.24282618,,,9.191667995,,4.543204864,,2.335604059,4.17875343,,1.470304392,7.894736842,,0.139057819,,,,1.926328502,,,,1.316211878,,,1.86122449,,,,,,,,,3.237412426,128.8430421,0.690360522,2.196475983,4.680851064,,2.079221858,1.277313354,5.92869805,5.339432957,,,0.36671157,,,10.77181958,,,,,,4.093891431,3.253567409,3.969454105,,,,,,0.391231447,,,,,,2.62542909,,0.956513164,,-0.158346529,,,2.037300577,,,6.977107587,2.333950935,,,,0.563419796,,,,,,0.436479069,,2.376033058,,,1.179869974,3.720791771,,4.311924966,,-2.923098913,-0.476059059,4.163547846,,,3.448293243,,4.055299539,,,,0.170627348,,1.61904762,,0.708073578,19.08661855,2.358806459,,6.081361711,3.720791771,,,,,,3.161936973,1.711618257,,,1.588785047,0.058333333,,,,0.655391121,,,,,,,1.986127529,2.2086412,2.2086412,,4.954360592,5.860566449,,3.969454105,,,,,,-10.03389536,0.163666121,1.943125825,2.395827469,2.848794741,,15.5988858,1.790359602,,0.296735906,,8.232052007,,6.046239662,,,,,,,4.697427988,4.271796153,,125.3369911,,,,,,,,,,
1969,,,,,,,,,,,,3.278688525,3.080397267,,8.935774123,-0.194127639,,5.835231866,,3.753992291,,,,,2.209748473,,,,,,,9.655529358,4.023883697,,,-1.101591187,4.561558902,5.835231866,,,,,,,,6.98166308,,6.176195735,,2.629340837,4.450228542,,,,2.38515901,,3.487919244,,4.215788689,0.956628066,2.975139247,,,,6.326681449,3.409820282,-0.19499025,,,,3.205541238,1.425688431,2.648069614,,,,2.67462366,,,2.205610935,,6.045962842,,2.975139247,5.012040939,,1.912663946,7.317073163,,2.638886495,,,,2.097280645,,,,1.413181242,,,1.258214457,,,,,,,,,-0.58413661,15.47987022,3.593194516,5.739253661,7.418699186,,2.458054256,2.657252734,6.303458535,5.249820911,,,-0.171501007,,,12.38956768,,,,,,2.629340837,2.441861168,2.435202716,,,,,,9.785970555,,,,,,2.29443437,,3.828872827,,-0.409015025,,,2.334287602,,,2.315220567,3.367003367,,,,3.501507399,,,,,,2.949891354,,-4.339051463,,,4.057591623,7.421797364,,4.925242427,,10.64566002,10.1559792,5.011972551,,,2.962949511,,3.487919244,,,,3.186986796,,1.827553889,,2.246847536,6.236158061,1.955510323,,8.782771056,3.278688525,,,,,,0.484939553,4.13054564,,,3.495860166,4.022653452,,,,-0.27305188,,,,,,,3.23823316,3.622289209,3.622289209,,2.160340151,7.456952734,,2.2543815,,,,,,12.60686857,11.2745098,2.691994586,2.489025898,-1.988636364,,16.41566265,2.45039086,,6.015779093,,2.435202716,,4.924193945,,,,,,,5.44666363,5.4623862,,20.96666667,,,,,,,,,,
1970,,,6.599999999,,,,,,,,,3.439153439,4.372834991,,6.152093421,1.628981278,,7.284216374,,3.908472385,,,,,3.955509211,,,,,,,1.772603315,-0.199650611,,,5.858085809,3.346039814,7.284216374,,,,,,,,6.908622758,,8.025284045,,4.652297493,8.205190543,,,,2.40018825,,6.514841417,,12.39349896,3.816666666,3.812664908,,,,5.129987488,3.762898596,2.817853922,,,,1.849539566,10.12195122,4.140653688,,,,4.506094218,,4.124178563,2.740420431,,5.299641246,,3.812664908,-1.98509388,,3.450241667,3.030303031,,2.841681991,,,,2.344339349,,,,1.368493407,,,2.880886427,,,,,,,,,5.09226162,12.39946465,1.66687094,4.355595265,8.207190161,,6.110742036,4.968319873,14.7280042,6.924173835,5.899999999,,2.188527039,,,15.95034161,,,,,,4.652297493,4.303903352,3.955509211,,,,,,-5.296371422,,,,,,4.639353444,,2.878645343,,1.843935966,,,3.715658848,,,1.541865943,5.003412055,,3.739278722,4.05924693,4.05924693,,,,,,1.279181324,,-4.008438818,,,15.23727845,3.668918202,,6.517181052,,1.117838845,13.75707992,4.592147576,,,10.63720653,,5.73115584,,,,5.34984091,,3.083294984,,-0.859556021,5.025235901,14.38146168,,6.38014449,4.968319873,,,,,,0.514885808,2.742409403,,,0.177777778,2.810248199,,,,0.463352991,,,,,,,4.991859976,5.608398494,5.608398494,,5.73115584,5.866956078,,13.39876253,,,,,,4.02779565,2.588042588,7.016358851,3.615988321,4.637681159,,3.492884864,-0.088041086,,4.480620155,,2.523900574,,7.923952083,,,,,,,6.366568417,5.838255338,,16.30614494,,,,,,,,,,
1971,,,2.626641651,,,,,,,,,6.138107417,4.704264649,,4.614971827,5.789473685,,7.469255664,,4.343628546,,,,,3.674614306,,,,,,,2.06121818,3.85096274,,,4.014029618,2.704918033,4.614971827,,,,,,20.0522312,,12.05673759,,5.777349826,,3.083048414,-0.443745436,,,,4.144006128,,5.869869591,,3.637406039,3.580028897,4.195298373,,,,8.38402539,3.140421714,0.445808668,,,,2.321661176,0.536224282,5.016319277,,,,5.240974171,,9.138193689,6.475765431,,5.397518656,,3.863260897,3.05622578,,5.240974171,9.558823537,,3.28947824,,,,-0.453591881,,,,9.579583282,,,2.223247942,,,3.635252358,,,,,,3.079938684,4.233748945,4.195298373,3.595890411,8.961748634,,11.97257732,4.791664383,5.336179296,6.395348837,4.815864024,,3.780206125,,,13.51170385,,,,,,4.784114382,4.313935621,4.313935621,,,,,,-3.103849408,,,,,,4.67221498,,5.385881492,,1.613035964,,,2.323812158,,,0.316344464,5.469028994,,4.175325221,3.87562124,3.87562124,,,,,,4.155352068,,2.087912088,,,-1.999503845,7.477692552,,10.38756832,,4.191616766,15.99911485,3.49884236,,,6.223863235,,6.395348837,,,,4.730691482,,1.919642857,,4.953256936,6.790639365,21.40334354,1.099999999,11.94689837,6.138107417,,,,,,0.488580074,4.766444233,,,4.475,3.878202632,,14.59929287,,1.761006289,,,,,,,5.957448096,2.872659446,2.872659446,,8.23688063,2.665380209,,8.391345249,,,,,,1.303669009,0.215551653,7.395541138,6.573226046,5.609418283,,4.775,0.484652665,,6.492061136,,3.531020763,,19.01140868,,,,,,,9.444837423,4.292766688,,23.95308891,,,,,,,,,,
1972,,,3.65630713,,,,,,,,,6.024096386,6.355134987,,6.830811319,5.088195386,,11.87665623,,5.448431284,,,,,6.511544012,,,,,,,-2.923356559,3.828557669,,,8.092918696,4.988028731,6.830811319,,,,,,77.79574048,,12.02531646,,15.80421539,,4.601125693,0.310313699,,,,4.832303619,,6.562360903,,3.687995575,8.640731556,6.075,,,,7.881893607,2.102363346,1.535215367,,,,2.366332185,-6.081511972,5.906253517,,,,6.007389699,,21.97850406,6.662497835,,6.063003097,,3.487091643,8.698119901,,5.484936719,10.06711409,,4.331215999,,,,0.529703252,,,,3.189693969,,,3.612281758,,,5.888594523,,,5.953322371,,,6.442097462,6.521749213,6.398241351,5.185950413,8.605817453,,12.88146126,5.749503937,5.427702996,4.843517139,7.657657658,,5.831644743,,,11.68898571,,,,,,6.671177665,5.18569768,5.969623504,,,,,,-0.251023192,,,,,,5.225680506,,5.622559653,,3.231554224,,,3.372761068,,,5.395935529,4.943692364,,4.045175133,3.707738844,3.707738844,,,,,,3.759170557,,7.64262648,,,8.389023896,7.802791435,,6.932804592,,9.751168372,3.457649752,4.130153489,,,7.25843583,,6.562360903,,,,5.183237645,,5.409548839,6.075,9.180374973,7.219722168,8.204034135,-0.098911967,10.66335598,6.063003097,,,,,,3.092193809,7.506824386,,,4.331179708,6.154884174,,20.94099499,,2.080758138,,,,,6.87754613,,6.425693925,6.395791756,6.395791756,,8.272287728,6.34948605,,7.880576289,,,,,,13.55475071,3.234286625,6.007389699,6.660001326,2.098360656,,7.63540921,4.837766735,,7.726607678,,9.301068813,,15.41645572,,,,,,,7.071098395,3.272278247,,76.48492378,,,,,,,,,,
1973,,,6.172839506,,,,,8.266666666,,,,9.090909091,7.53108065,,5.481754162,14.33182698,,16.85508183,,6.955280087,,,,,31.48602879,,,,,,,7.603890363,6.006493507,,,10.3847487,7.487647282,13.4406007,,,,,,352.8109866,,22.59887006,,15.64276212,,15.21403422,11.10298667,,,,7.808882341,,9.30338298,,12.09911672,15.07953492,12.08193946,,,,13.01176205,5.112184039,6.391974203,,,,11.54352597,8.913580247,7.915543045,,,,7.749086129,,11.08531821,10.75447188,,7.380601064,,6.207141168,6.918608446,,7.032025724,17.68292682,,15.38463516,,,,13.79603399,,,,22.73891948,,,5.193201627,,3.387978142,12.86885393,,,10.73503345,,,16.94081598,31.04188127,9.819486733,4.89098409,11.41485039,,20.03237369,10.79861745,17.68259198,11.60862355,11.12970711,,9.281194223,,,3.221029139,,8.266666666,,,,13.61831735,13.22618137,13.61831735,,,,,,7.970895563,,,,,,6.068098359,,6.120101865,,10.56017574,,,7.689289918,,,13.45079787,12.08193946,,8.266666666,7.071867535,7.071867535,,,,,,4.084614036,,25.2,,,11.42977253,8.02220375,,8.166669273,,11.78501554,5.402664454,6.832703673,,,7.419472836,,8.922792658,,,,23.07008403,,6.856430501,8.343153429,12.79689453,9.489051095,16.58003226,2.475247525,12.97460852,8.094436511,,,,,,9.373674076,11.764243,,,16.51376147,11.28531073,,18.23979592,,19.63673058,,,,,3.228699551,,9.433972641,14.18529425,14.18529425,,11.41670926,9.626643102,,13.4406007,,,,,,15.28908795,12.94081333,6.717997398,8.754676224,20.35966602,,10.3968078,15.5095497,,3.615314966,,14.81074548,,13.93816524,,,,,,,9.196033167,6.177760064,,96.99726532,,,,,,,,,,
1974,,,4.699612403,,,,,15.52828175,,,,15.41666667,9.521793791,,13.07184584,24.39299831,,38.92292809,,12.67788775,,,,,62.8360756,,,,,,,8.719609454,15.7223073,,,17.23293349,10.99717115,27.15818946,,,,,,504.7385412,,22.58064516,,29.46928105,,30.07362928,17.35938845,,,,16.17666667,,15.27520622,,34.37607425,13.14076737,19.0704733,,,,23.32135427,10.02431775,16.89903684,,,,19.28777545,8.592155974,14.66484789,,,,13.16360261,,14.49846951,16.9364,,13.64931747,,12.07280419,9.23631036,,6.986432425,18.13471503,,26.56083438,,,,16.49489669,,,,14.95069734,,,12.84954775,,1.797040168,19.35774314,,,20.48861552,,,28.59873408,40.49179044,14.24893554,7.7,16.97612732,,39.67997715,19.15976959,27.15818946,23.22224581,19.42771084,,17.80994803,,,24.30419537,,12.99261084,,,,22.95099971,22.95099971,22.95099971,,,,13.42283452,,7.458451561,,,,,,9.540655417,,22.10094442,,17.32898098,,,7.255616272,,,29.11563031,23.78401544,,14.24893554,12.13662664,12.13662664,,,,,,17.55682275,,25.21166134,,,19.80633803,9.591424843,,11.10940201,,3.397508494,12.67439318,11.02598798,,,9.411768132,,15.34593644,,,,26.66303485,,16.26806663,23.16728301,25.23331778,16.89166667,34.16359164,7.053140096,25.08277786,13.16360261,,,,,,31.08829937,24.98767866,,,21.43700787,16.60109151,,24.42466739,,22.36842105,,,,,18.85317116,,11.72412209,23.23468644,23.23468644,,15.68037832,12.3028868,,34.22060423,,,,,,26.1581023,16.87619568,9.911725301,9.767413601,15.52828175,,19.59839357,24.31355983,,12.83193169,,22.02497727,,23.89816158,,,,,,,16.04401119,11.0548048,,77.21341378,,,,,,,,,,
