Year,Algeria,Argentina,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Brazil,Bulgaria,Canada,Central America,Chile,China,China Hong Kong SAR,Colombia,Croatia,Cyprus,Czech Republic,Denmark,Eastern Africa,Ecuador,Egypt,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Japan,Kazakhstan,Kuwait,Latvia,Lithuania,Luxembourg,Malaysia,Mexico,Middle Africa,Morocco,Netherlands,New Zealand,North Macedonia,Norway,Oman,Other Asia Pacific,Other Caribbean,Other CIS,Other Europe ,Other Middle East,Other Northern Africa,Other South America,Other Southern Africa,Pakistan,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russian Federation,Saudi Arabia,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Sri Lanka,Sweden,Switzerland,Taiwan,Thailand,Total Africa,Total Asia Pacific,Total CIS,Total Europe ,Total Middle East,Total North America,Total S. & Cent. America,Total World,Trinidad & Tobago,Turkey,Turkmenistan,Ukraine,United Arab Emirates,United Kingdom,US,USSR,Uzbekistan,Venezuela,Vietnam,Western Africa
1965,26.71619178,432.3739356,312.9800822,106.6528493,0,0,0,312.1127123,305.6738082,71.2209589,1108.116301,78.47648286,70.51694045,215.4935068,40.61195439,81.43229129,0,7.726465753,78.08336986,202.4471507,110.6024563,13.39479452,130.737726,0,110.5699452,1065.496767,1708.631507,84.77063014,73.12246575,9.40309589,252.2339726,121.9709589,142.8963046,26.02031597,46.54926027,75.99664703,978.9859178,1705.075863,0,108.9163685,0,0,16.14561644,46.08022542,315.8710877,40.11200659,20.74149743,477.891863,56.71906849,0,99.44945205,9.030109589,59.76280102,345.7354116,0,81.31331334,115.033138,28.0852224,45.85018745,0.523107577,75.72652055,74.43827028,84.58747945,108.7452877,50.25331507,1.012520548,142.549589,0,389.5744658,76.49975959,44.88109589,0,117.7289315,24.94630137,268.4641644,9.349684143,373.9610042,164.1886849,43.85572603,47.56139726,549.6149182,3204.802554,3313.952416,8219.067934,870.0056543,12946.17509,1666.943406,30770.56197,35.17133007,69.37386301,0,0,1.52578432,1466.077589,11522.1877,3313.952416,0,183.8799534,31.34725278,74.36777863
1966,35.35323288,447.270806,367.4275068,118.2057808,0,0,0,318.6681096,334.6025753,81.12865753,1167.468795,79.31374474,77.45314443,276.6654795,44.7458846,92.3936803,0,8.848876712,85.892,230.1234247,116.5486615,13.96934247,139.9334247,0,134.5030137,1145.222521,1915.967945,92.82145205,80.92452055,10.12427397,281.5287123,117.4666575,155.9988736,28.1338163,52.16947945,79.26201715,1079.86211,1945.19189,0,106.3400747,0,0,18.27663014,53.75209054,333.0484837,40.89760093,28.17607496,521.7595342,62.72975342,0,112.0144932,9.419671233,63.08838991,357.963438,0,95.57522159,119.6335289,31.17319143,47.3178047,0.520986263,77.75241096,94.67592185,92.28273973,113.8916712,51.66654795,1.009945205,148.9004384,0,392.9160274,87.40738812,49.35789041,0,127.8542466,37.3679726,318.8386575,9.575282149,421.5762974,174.7298082,51.77769863,55.99279452,600.6287948,3693.262188,3548.818796,9037.460259,894.3424204,13600.86459,1761.84786,33137.22491,35.41800794,82.81221918,0,0,1.628465926,1573.598685,12100.34731,3548.818796,0,181.4693945,68.50953649,80.17137561
1967,33.2859726,459.8769773,401.4631781,125.6485753,0,0,0,350.3951233,344.5401644,101.8273699,1245.557068,83.42386592,81.56863082,273.294137,53.5718467,93.36931496,0,9.622136986,95.4989863,243.8726575,122.6527747,15.11030137,115.7152603,0,141.2494521,1315.156712,1997.305973,109.2129863,86.06065753,9.876082192,289.3797808,114.3179726,172.2908118,30.43972418,58.4850137,82.61420559,1198.532904,2388.409726,0,103.8542117,0,0,20.10613699,53.44089642,357.3059571,41.86558499,30.95961845,533.5627123,65.81150685,0,116.5856712,9.829452055,67.37906446,373.3710523,0,116.5569767,124.3840451,33.35130218,50.61074242,0.577836599,86.80271233,95.44850549,103.9908493,124.1843288,56.9159726,1.535917808,169.9727397,0,396.2595616,104.3737702,54.86882192,0,138.4970959,64.73060274,387.6718904,9.80715298,421.2205152,188.0065753,61.3709589,61.97342466,598.4156862,4300.455746,3866.126221,9825.686232,922.9602442,14169.74349,1820.002592,35503.39021,36.95416606,97.02052055,0,0,1.752314365,1696.26874,12566.88047,3866.126221,0,185.7288712,100.338166,81.51024057
1968,35.37442623,468.9948101,435.9911749,144.3210383,0,0,0,405.103388,412.432377,120.4571585,1322.15735,84.86143943,86.06351002,298.0057104,58.33828845,103.8965422,0,10.59554645,105.5605738,263.7703279,127.3827264,18.00893443,120.5006557,0,159.5106011,1418.657268,2233.023361,112.2417213,90.22863388,10.51740437,324.3339071,120.6463115,189.26962,32.88288337,64.80642077,85.90756128,1318.665055,2765.207568,0,101.2073227,0,0,22.15565574,53.94090023,386.1447624,42.88548878,33.8862195,572.5233333,67.4331694,0,129.5319126,10.24983607,71.14806704,380.619922,0,134.7906362,129.0613874,38.00151837,52.1499456,0.575715285,98.62830601,95.27098894,118.3432787,154.3977596,60.9576776,1.966912568,180.3346175,0,398.5525137,128.877528,60.6936612,0,150.0648634,95.41568306,411.1241257,10.01432635,473.127987,207.6040164,72.86371585,81.13,629.937285,4902.398211,4107.310371,10775.43026,951.0487181,15112.85066,1941.28429,38420.2598,37.56023018,116.565847,0,0,1.950681053,1794.164536,13404.54855,4107.310371,0,201.4255902,102.0802763,81.26567136
1969,37.71432877,491.7507328,450.9608219,158.6869315,0,0,0,468.287863,456.5649041,148.4716986,1380.190329,90.34448959,92.45494402,400.5609315,69.56820663,100.4919488,0,12.55367123,113.4582466,316.1385479,135.3892434,18.95109589,91.50778082,0,184.5926027,1641.933479,2520.928247,119.9482192,101.0116986,9.711780822,392.3453973,130.4616712,207.3631434,35.62536034,70.94257534,89.83404393,1462.603644,3284.039397,0,99.20755112,0,0,24.63454795,55.89679726,410.0219056,44.42166606,36.78492387,625.2228219,70.33238356,0,142.9521918,10.70594521,74.91658777,392.4975796,0,145.1781888,134.5927725,42.48645264,56.10709226,0.584624661,92.75665753,93.61003886,127.1925205,170.2705753,64.53912329,2.281178082,200.2961096,0,403.0651233,127.0765308,65.22323288,0,165.2828767,129.7931781,469.0139178,10.27438805,507.9129084,226.4303836,87.34115068,87.96964384,644.006698,5715.200084,4376.248756,12030.56586,984.8483909,15943.19733,2032.630432,41726.69756,39.48698997,129.4395068,0,0,2.173272997,1930.183151,14152.9851,4376.248756,0,200.3706164,123.7138201,89.83480098
1970,43.00991781,447.7857684,496.7535068,175.7078082,0,0,0,511.7093699,512.7246849,172.5528767,1471.579753,93.43999578,97.83772129,554.2244658,74.89607832,116.0658928,0,13.26167123,136.7287123,350.7370959,141.4854338,21.51356164,117.0936438,0,207.4605205,1860.037836,2765.050356,129.8523014,117.526274,9.962657534,390.3169589,137.7405479,223.9548765,48.23072664,79.3459726,93.6539905,1658.888027,3876.208603,0,97.02814284,0,0,26.15394521,61.7940193,440.7359872,45.09379379,38.50394623,699.7463014,82.28693151,0,161.0060822,11.19772603,78.4903525,445.5573101,0,172.8052844,130.6951084,46.08125531,58.36842099,0.597352392,91.83260274,98.03667264,144.428411,181.1376986,91.52404479,1.955424658,217.6071507,0,434.7413967,138.0366041,78.57410959,0,179.1284932,162.119726,534.0148767,20.60372192,551.0986823,253.7187671,104.7289863,102.8088767,709.7514769,6645.528409,4826.362643,13323.15459,1043.988224,16622.22599,2141.710642,45312.72197,40.50624879,136.2206575,0,0,2.530831887,2030.725507,14709.91025,4826.362643,0,209.8743644,128.2580165,98.75764056
1971,48.87849315,479.6032603,523.1010137,196.2132329,0,14.00605479,0,525.207863,564.4876986,189.4688219,1512.128247,97.90331257,108.0435342,753.2652877,79.62131507,119.9529589,0,15.8279726,151.1802192,346.8418082,168.199223,23.87684932,122.0270411,0,215.130274,2022.416932,2888.109123,143.3420822,132.6987123,10.83350685,416.3596438,142.3995616,246.1926784,51.74631275,87.80673973,97.66956164,1789.873918,4285.447836,0,96.24936986,0,0,27.29479452,67.58706849,467.2848515,52.94375837,40.63805479,695.6861918,84.87778082,0,160.1228493,23.91375342,80.62558314,455.8247422,0,217.6323588,136.3222485,43.17678847,62.97874473,0.627899289,87.11375342,97.99632877,167.8356164,191.0399178,103.560019,1.890328767,221.9244384,0,441.3193436,120.7224384,86.9109863,0,195.3727397,183.1247123,593.2547671,18.91574,520.8781089,269.5059726,145.1574247,114.3865753,801.3286606,7393.049721,5126.539667,13999.89265,1098.289487,17202.17118,2264.867813,47886.13918,41.85863014,160.3537808,0,0,2.985890411,2036.77726,15222.75808,5126.539667,0,212.3417534,108.5023154,129.4646627
1972,53.54349727,478.584153,532.1593716,211.8594536,0,16.86756831,0,566.8854098,648.8938251,196.5106557,1588.909235,106.3158165,114.2913115,864.5880328,90.00562842,134.9526503,0,17.66516393,164.6743443,365.7013388,174.6081706,24.6568306,139.7058197,0,227.9210383,2237.728333,3036.930929,164.9010656,144.0687705,11.58120219,447.3971585,154.2560109,273.9500904,63.58567045,96.2234153,101.7746175,1885.621803,4570.639153,0,104.2705191,0,0,28.70300546,74.93076503,523.3531661,55.66451643,43.34245902,776.9110109,91.01961749,0,167.5114481,27.21437158,90.52559496,486.3847454,0,226.5970855,132.9858838,50.19345937,73.31566048,0.62662647,71.20439891,84.19579235,164.2627596,213.606694,112.3871475,2.243579235,235.9686885,0,470.255456,150.322541,94.64879781,0,211.9653552,190.5331967,622.7146995,20.44746148,532.9438565,275.5706284,156.195765,142.7478142,867.9106182,7939.822165,5547.117958,14952.10372,1180.175707,18493.07625,2449.699572,51429.90599,67.28718579,181.1134153,0,0,3.895519126,2155.154317,16380.81385,5547.117958,0,230.8216011,111.7193276,138.2607142
1973,58.84926027,482.6346849,569.9006301,230.3962466,0,18.97468493,0,597.8955068,797.4612329,207.9781644,1682.379178,111.7638496,109.5587397,1058.323233,93.92093151,131.2271233,0,19.0069863,184.8970137,341.3246027,183.6656216,27.43871233,131.5687671,0,254.9644384,2499.07937,3249.325973,192.4408767,163.1053151,13.46410959,473.6696986,184.4420822,329.3754248,62.21821897,104.4561096,107.9268493,1982.794603,5264.604438,0,99.38778082,0,0,31.84021918,81.9209589,564.1778055,57.60417785,51.4819726,808.2010411,96.23293151,0,171.9394795,23.80287671,89.70170356,526.5382855,0,247.7560429,143.6416846,64.25024687,74.05274718,0.792086407,73.21430137,99.88830137,192.7445205,238.1097534,123.7879981,2.913041096,265.1963014,0,500.5847962,142.6088767,106.2953425,0,234.1763288,235.1330411,745.2465753,21.26672384,548.1725603,297.2843836,199.928274,151.4262466,935.3586099,9057.9482,5981.449761,16075.7286,1275.913385,19564.48975,2686.088581,55576.97689,68.26616438,222.6339726,0,0,6.062712329,2228.135616,17317.93277,5981.449761,0,257.2587397,109.9349232,152.9701484
1974,65.64186301,482.8743836,603.8556438,207.1307123,0,19.62638356,0,529.3600548,859.6521644,216.2417534,1712.654082,113.4450927,105.0710959,1216.710356,96.43624658,144.797863,0,16.94361644,188.9551233,308.552274,183.2611223,31.34693151,145.6078356,0,223.2220274,2374.834164,2956.806658,179.702274,178.3537808,12.50964384,464.3753151,193.2048767,382.7594963,62.33027608,103.4635342,110.1123562,1927.031014,5068.185836,0,91.2849863,0,0,28.72983562,81.67328767,629.4570693,59.90084829,54.98934247,697.9767945,92.74066178,0,156.366,22.08758904,98.74904038,523.5940822,0,278.8716383,154.1148185,70.17052509,65.95431394,0.879058228,78.95564384,118.0881644,180.0233151,250.0019452,131.2451353,3.989780822,244.4071233,0,525.6078116,140.1178904,108.6268219,0,228.3907945,243.6411233,775.6787397,16.86474986,488.4218944,265.0938082,179.7256164,153.6529315,967.4241344,8996.049616,6587.913499,15133.99733,1360.681772,18972.75915,2771.602749,54790.42825,67.35405479,216.1840822,0,0,8.394657534,2069.286877,16630.648,6587.913499,0,259.4246027,67.51069826,158.5827449
