Year,Algeria,Angola,Argentina,Australia,Azerbaijan,Brazil,Brunei,Canada,Chad,China,Colombia,Denmark,Ecuador,Egypt,Equatorial Guinea,Gabon,India,Indonesia,Iran,Iraq,Italy,Kazakhstan,Kuwait,Libya,Malaysia,Mexico,Nigeria,Norway,Oman,Other Africa,Other Asia Pacific,Other CIS,Other Europe,Other Middle East,Other S. & Cent. America,Peru,Qatar,Republic of Congo ,Romania,Russian Federation,Saudi Arabia,South Sudan,Sudan,Syria,Thailand,Total Africa,Total Asia Pacific,Total CIS,Total Europe,Total Middle East,Total North America,Total S. & Cent. America,Total World,Trinidad & Tobago,Tunisia,Turkmenistan,United Arab Emirates,United Kingdom,US,USSR,Uzbekistan,Venezuela,Vietnam,Yemen
1965,569.94,13.3,275.67,7,0,96.05,80,920,0,227.13,203,0,8,126.01,0,25.33,62.34,486,1908,1313,47.77,0,2371,1220,1,362,274.2,0,0,2.14,35.11,0,470.47,61,47.13,66,233,1.38,265.78,0,2219.3,0,0,0,0,2232.3,898.59,4857.76,785.75,8387.5,10296.15,4333.86,31791.91,135,0,0,282.2,1.74,9014.15,4857.76,0,3503,0,0
1966,733.59,12.81,292.86,9,0,117.05,96,1012,0,292.2,199,0,7,121.71,0,28.98,95.87,474,2132,1392,39.08,0,2505,1508,1,370,417.6,0,0,2.14,34.09,0,486.68,65.76,54.41,66,291,1.2,271,0,2617.8,0,0,0,0,2842.28,1002.15,5302,798.37,9363.56,10961.24,4291.33,34560.93,153,16.24,0,360,1.62,9579.24,5302,0,3402,0,0
1967,842.66,10.9,318.63,21,0,147.05,104,1106,0,278.74,192,0,6,108.56,0,68.99,116.91,510,2603,1228,36.56,0,2522,1733,1,411,319.1,0,57,2.06,31.09,0,506.99,72.98,78.21,74,324,0.97,278.84,0,2825,0,0,0,0,3133.46,1062.74,5762,824.24,10014.08,11736.25,4570.9,37103.66,179,47.21,0,382.1,1.84,10219.25,5762,0,3576,0,0
1968,922.5,15.18,348.16,39,0,161.05,122,1194,0,320.24,176,0,5,166.38,0,92.69,120.42,599,2840,1503,34.58,0,2656,2599,4,439,141.3,0,241,1.84,35.11,0,517.64,77.97,84.57,77,340,0.83,279.7,0,3080.9,0,0,21,0,4006.78,1239.77,6167.1,833.66,11256.47,12232.74,4681.78,40418.3,191,67.05,0,496.6,1.74,10599.74,6167.1,0,3639,0,0
1969,969.33,49.9,361.53,45,0,176.05,124,1306,0,436.59,214,0,4,239.16,0,100.68,138.7,642,3376,1521,33.86,0,2819,3108,9,461,540.3,0,327,1.2,36.43,0,530.04,77.96,83.8,75,356,0.47,281.09,0,3262.2,0,0,53,0,5087.14,1431.71,6566,846.79,12419.96,12594.67,4702.39,43648.66,157,78.1,0,627.8,1.79,10827.67,6566,0,3631,0,0
1970,1053.93,102.83,399.46,176,0,166.68,136,1473,0,615.52,226,0,4,319.09,0,108.61,140.47,854,3847.66,1549,31.9,0,3036,3357,18,487,1083.1,0,332,0.91,39.51,0,528.24,78.54,63.95,74.97,363,0.37,283.78,0,3851.1,0,0,85,0,6113.29,1979.5,7126.75,847.44,13921.9,13256.85,4829.07,48074.78,140,87.46,0,779.6,3.52,11296.85,7126.75,0,3754,0,0
1971,802.59,116.14,431.54,315,0,174.85,129,1582,0,791.44,224,0,4,290.85,0,116.06,148.23,892,4572.42,1694,28.54,0,3253,2750,69,486,1531.2,6,294,0.48,42.42,0,509.31,76.2,80.38,63.88,430,0.27,292.34,0,4820.9,0,0,106,0,5694.16,2387.08,7610.46,841.09,16306.02,13223.78,4722.65,50785.24,129,86.57,0,1059.5,4.9,11155.78,7610.46,0,3615,0,0
1972,1081.05,142.88,444.12,337,0,171.19,182,1829,0,914.65,203,2,78,207.96,0,125.89,151.69,1081,5058.96,1466,25.47,0,3339,2248,93,506,1815.7,33,282,0.58,44.3,0,504.31,70.93,89.24,66.6,482,6.5,298.42,0,6070.3,0,0,117,0,5712.11,2803.64,8064.13,871.07,18088.89,13519.9,4494.14,53553.87,141,83.56,0,1202.7,7.86,11184.9,8064.13,0,3301,0,0
1973,1128.74,165.96,433.64,424,0,173.99,231,2114,0,1076.61,192,3,209,164.93,0,152.15,148.5,1338,5907.38,2018,23.36,0,3080,2211,91,525,2054.3,32,293,0.87,47.06,0,509.05,68.75,89.74,72.59,570,40.56,303.93,0,7693.2,0,0,111,0,6000.22,3356.16,8664.42,880.17,21273.92,13584.95,4791.95,58551.8,166,81.7,0,1532.6,8.83,10945.95,8664.42,0,3455,0,0
1974,1045.98,173.39,423.39,420,0,181.76,198,1993,0,1302.33,175,2,177,144.98,0,204.32,154.52,1375,6060.3,1977.04,23.37,0,2603,1558,81,653,2255,35,290,0.52,47.38,0,509.82,67.76,85.6,79.1,518,47.62,308.03,0,8617.7,0,0,129,0,5517.01,3578.23,9270.41,887.98,21941.4,13107.21,4368.84,58671.08,187,87.2,0,1678.6,9.76,10461.21,9270.41,0,3060,0,0
