Year,World Barrels,Prediction,Difference,% Difference
2010,86855.60512,86266.70612,-588.8990047,-0.678020726
2011,87820.24074,87776.68897,-43.55177067,-0.049591951
2012,88784.2634,88807.78144,23.51803867,0.026488972
2013,90151.54476,89890.00035,-261.5444097,-0.290116393
2014,90902.90771,90906.05417,3.1464627,0.003461344
2015,92610.12861,92610.12861,1.46E-11,1.57E-14
2016,94403.97687,94403.97687,-1.46E-11,-1.54E-14
2017,96012.59157,96012.59157,4.37E-11,4.55E-14
2018,97348.38002,97348.38002,0,0
2019,98272.45767,98272.45767,0,0
2020,95729.50695,95729.50695,7.28E-11,7.60E-14
2021,96353.38262,96353.38262,0,0
2022,96743.26376,96743.26376,1.46E-11,1.50E-14
2023,96889.3982,96889.3982,0,0
2024,96797.60184,96797.60184,0,0
