Year,World Barrels,Prediction,Difference,% Difference
2001,77365.72931,75812.0452862461,-1553.6840237539,-2.0082328927946613
2002,78238.28865,77029.90082419479,-1208.3878258052137,-1.544496750447792
2003,79907.62267000001,78089.09413699475,-1818.5285330052575,-2.275788557138484
2004,82654.46174,79569.36767161403,-3085.0940683859662,-3.7325197012237736
2005,83891.17801,81969.30248110295,-1921.875528897057,-2.2909149382405447
2006,84915.99773999999,83524.56705058303,-1391.4306894169567,-1.6385966442710926
2007,86099.6339,85138.70249599006,-960.9314040099416,-1.116069094005685
2008,85170.13717,86512.4582157527,1342.321045752702,1.5760465937414456
2009,84082.7072,85690.39899608701,1607.691796087005,1.912036195817212
2010,86855.60512000001,85489.39681210174,-1366.2083078982687,-1.5729650446977033
