Year,World Barrels,Prediction,Difference,% Difference
2010.0,83409.28,83149.82785345745,-259.4521465425496,-0.31105908903967233
2011.0,84156.76,84233.7310208278,76.97102082781203,0.09146148310345126
2012.0,86366.04,86035.50491453525,-330.5350854647404,-0.38271418426124487
2013.0,86794.17,86874.31461829075,80.14461829075299,0.09233871156409813
2014.0,88909.98,88893.4980816482,-16.481918351797503,-0.018537759598863373
2015.0,91732.64,91732.64000000013,1.3096723705530167e-10,1.4277059621886132e-13
2016.0,92072.43,92072.42999999924,-7.566995918750763e-10,-8.218525261851744e-13
2017.0,92797.83,92797.82999999961,-3.92901711165905e-10,-4.2339536513505214e-13
2018.0,95254.09,95254.08999999985,-1.4551915228366852e-10,-1.5276945303206247e-13
2019.0,95192.45,95192.44999999972,-2.764863893389702e-10,-2.9044991418854143e-13
2020.0,93409.888,93409.8879999998,-2.0372681319713593e-10,-2.1809983670801095e-13
2021.0,93745.3376,93745.33760000003,2.9103830456733704e-11,3.104562979005551e-14
2022.0,94079.91911999999,94079.91912000002,2.9103830456733704e-11,3.0935220532674396e-14
2023.0,94336.336944,94336.33694399998,-1.4551915228366852e-11,-1.542556738980142e-14
2024.0,94152.78633280001,94152.78633280001,0.0,0.0
