Year,World Barrels,Prediction,Difference,% Difference
2001,74942.96,72952.57356607151,-1990.386433928492,-2.655868455060344
2002,74144.97,75046.5431221062,901.5731221062015,1.215959925678305
2003,77305.05,75168.60208846927,-2136.447911530733,-2.7636589220636076
2004,80979.16,76811.21789042928,-4167.942109570722,-5.1469317656181195
2005,81951.57,79861.31031539556,-2090.259684604447,-2.550603587709725
2006,82711.27,81611.11657201752,-1100.1534279824846,-1.330113088557925
2007,82569.68,83187.07629682889,617.3962968288979,0.7477276123982773
2008,83234.06,84178.74162142853,944.6816214285354,1.1349700127910802
2009,81577.58,83642.76754333521,2065.1875433352106,2.531562646667394
2010,83409.28,82408.18037433061,-1001.0996256693907,-1.2002257130973804
