Year,World
1960,3031437775
1961,3072480998
1962,3125456671
1963,3190564032
1964,3256064767
1965,3322973367
1966,3393031801
1967,3462460201
1968,3532826854
1969,3607499991
1970,3682911039
1971,3760509002
1972,3836892580
1973,3912347640
1974,3988478324
1975,4062864562
1976,4135418002
1977,4207766711
1978,4281312782
1979,4356746035
1980,4432925590
1981,4511137170
1982,4592341169
1983,4674266079
1984,4755914211
1985,4839074592
1986,4924736807
1987,5012555212
1988,5101297281
1989,5189996799
1990,5280076284
1991,5368065408
1992,5452349932
1993,5537511534
1994,5621787194
1995,5706689090
1996,5789623839
1997,5872254361
1998,5954005524
1999,6034491778
2000,6114332536
2001,6193671787
2002,6272752974
2003,6351882361
2004,6431551644
2005,6511748367
2006,6592734542
2007,6674203658
2008,6756917904
2009,6839574284
2010,6921871614
2011,7002860604
2012,7085763408
2013,7169640142
2014,7254228377
2015,7338964960
2016,7424282488
2017,7509065705
2018,7591932907
2019,7673533972
