,Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019.1,2008-18,2019.2
0,Canada,920,1012,1106,1194,1306,1473,1582,1829,2114,1993,1735,1598,1608,1597,1835,1764,1610,1590,1661,1775,1813.0,1805.0,1909.0,2002.0,1961.0,1968.0,1984.0,2066.0,2189.0,2281.0,2402.0,2480.0,2588.0,2672.0,2604,2884.0,2895.0,3011.0,3157.0,3230.0,3188.0,3359.0,3433.0,3341.0,3331.0,3457.0,3637.0,3860.0,4128.0,4418.0,4572.0,4655.0,5037.0,5501.0,5651.0,2.70%,5.10%,5.90%
1,Mexico,362,370,411,439,461,487,486,506,525,653,806,894,1085,1327,1607,2129,2553,3001,2930,2942,2912.0,2758.0,2879.0,2877.0,2897.0,2941.0,3100.0,3098.0,3115.0,3136.0,3055.0,3270.0,3409.0,3499.0,3352,3456.0,3568.0,3593.0,3795.0,3830.0,3766.0,3689.0,3479.0,3165.0,2978.0,2959.0,2940.0,2911.0,2875.0,2784.0,2587.0,2456.0,2224.0,2068.0,1918.0,-7.30%,-4.20%,2.00%
2,US,9014,9579,10219,10600,10828,11297,11156,11185,10946,10461,10008,9736,9863,10274,10136,10170,10181,10199,10247,10509,10580.0,10231.0,9944.0,9765.0,9159.0,8914.0,9076.0,8868.0,8583.0,8389.0,8322.0,8295.0,8269.0,8011.0,7731,7733.0,7670.0,7624.0,7368.0,7250.0,6901.0,6825.0,6857.0,6783.0,7267.0,7558.0,7883.0,8926.0,10099.0,11801.0,12781.0,12349.0,13135.0,15360.0,17045.0,11.00%,8.50%,17.90%
3,Total North America,10296,10961,11736,12233,12595,13257,13224,13520,13585,13107,12549,12228,12556,13198,13578,14063,14344,14790,14838,15226,15305.0,14794.0,14732.0,14644.0,14018.0,13823.0,14159.0,14032.0,13887.0,13806.0,13779.0,14045.0,14265.0,14182.0,13688,14072.0,14132.0,14228.0,14320.0,14310.0,13854.0,13873.0,13768.0,13290.0,13576.0,13975.0,14460.0,15697.0,17101.0,19004.0,19940.0,19460.0,20396.0,22929.0,24614.0,7.30%,5.60%,25.90%
4,Argentina,276,293,319,348,362,399,432,444,434,423,406,408,442,466,487,506,519,517,520,509,491.0,465.0,459.0,481.0,492.0,517.0,526.0,587.0,630.0,695.0,758.0,823.0,877.0,890.0,835,848.0,921.0,908.0,913.0,874.0,842.0,849.0,814.0,802.0,730.0,712.0,667.0,657.0,644.0,638.0,646.0,610.0,590.0,591.0,620.0,4.90%,-3.00%,0.70%
5,Brazil,96,117,147,161,176,167,175,171,174,182,177,172,167,166,172,188,220,268,339,474,561.0,591.0,590.0,574.0,613.0,651.0,643.0,653.0,667.0,692.0,715.0,808.0,869.0,1003.0,1132,1276.0,1339.0,1498.0,1558.0,1543.0,1706.0,1806.0,1820.0,1887.0,2019.0,2125.0,2173.0,2132.0,2096.0,2341.0,2525.0,2591.0,2721.0,2679.0,2877.0,7.40%,3.60%,3.00%
6,Colombia,203,199,192,176,214,226,224,203,192,175,164,153,144,137,129,131,140,147,158,173,183.0,307.0,388.0,380.0,407.0,446.0,430.0,442.0,458.0,460.0,591.0,635.0,667.0,775.0,838,687.0,604.0,578.0,541.0,528.0,526.0,527.0,531.0,588.0,671.0,786.0,915.0,944.0,1010.0,990.0,1006.0,886.0,854.0,865.0,886.0,2.40%,3.90%,0.90%
7,Ecuador,8,7,6,5,4,4,4,78,209,177,161,188,184,204,216,206,213,213,240,261,286.0,298.0,176.0,309.0,286.0,292.0,307.0,328.0,353.0,388.0,395.0,393.0,397.0,385.0,383,403.0,410.0,394.0,420.0,528.0,534.0,538.0,513.0,507.0,488.0,488.0,501.0,505.0,527.0,557.0,543.0,548.0,531.0,517.0,531.0,2.70%,0.20%,0.60%
8,Peru,66,66,74,77,75,75,64,67,73,79,73,77,92,152,193,196,194,196,171,185,189.0,179.0,165.0,142.0,131.0,130.0,116.0,117.0,127.0,128.0,123.0,121.0,120.0,116.0,107,100.0,98.0,94.0,92.0,93.0,112.0,118.0,117.0,122.0,155.0,165.0,159.0,157.0,171.0,175.0,153.0,141.0,137.0,154.0,142.0,-7.20%,2.30%,0.10%
9,Trinidad & Tobago,135,153,179,191,157,140,129,141,166,187,216,212,229,230,214,212,189,177,160,170,176.0,169.0,155.0,151.0,149.0,150.0,149.0,144.0,134.0,141.0,142.0,141.0,135.0,134.0,141,138.0,134.0,154.0,164.0,152.0,172.0,174.0,155.0,149.0,150.0,145.0,136.0,117.0,116.0,114.0,109.0,97.0,99.0,87.0,82.0,-5.80%,-5.20%,0.10%
10,Venezuela,3503,3402,3576,3639,3631,3754,3615,3301,3455,3060,2422,2371,2314,2227,2425,2228,2163,1954,1852,1853,1744.0,1886.0,1910.0,1998.0,2012.0,2244.0,2501.0,2499.0,2592.0,2752.0,2959.0,3137.0,3321.0,3447.0,3095,3112.0,3174.0,2975.0,2869.0,3306.0,3302.0,3340.0,3237.0,3228.0,3038.0,2842.0,2755.0,2704.0,2680.0,2692.0,2631.0,2347.0,2096.0,1475.0,918.0,-37.70%,-7.50%,1.00%
11,Other S. & Cent. America,47,54,78,85,84,64,80,89,90,86,78,78,68,66,66,80,87,99,98,95,91.0,89.0,86.0,77.0,76.0,77.0,77.0,76.0,83.0,90.0,96.0,102.0,108.0,125.0,124,126.0,134.0,149.0,149.0,143.0,143.0,139.0,148.0,143.0,136.0,144.0,144.0,147.0,152.0,155.0,146.0,135.0,133.0,127.0,118.0,-7.10%,-1.20%,0.10%
12,Total S. & Cent. America,4334,4291,4571,4682,4702,4829,4723,4494,4792,4369,3697,3659,3640,3648,3902,3747,3725,3571,3539,3720,3721.0,3984.0,3928.0,4112.0,4167.0,4507.0,4749.0,4845.0,5044.0,5346.0,5779.0,6160.0,6495.0,6876.0,6654,6690.0,6814.0,6750.0,6705.0,7168.0,7337.0,7490.0,7335.0,7426.0,7387.0,7407.0,7450.0,7362.0,7397.0,7662.0,7758.0,7355.0,7161.0,6495.0,6174.0,-4.90%,-1.30%,6.50%
13,Denmark,0,0,0,0,0,0,0,2,3,2,3,4,10,8,8,6,15,34,43,47,60.0,74.0,93.0,96.0,112.0,121.0,142.0,157.0,168.0,185.0,186.0,208.0,230.0,238.0,299,363.0,348.0,371.0,368.0,390.0,380.0,346.0,311.0,287.0,265.0,249.0,225.0,204.0,178.0,167.0,158.0,142.0,138.0,116.0,103.0,-11.20%,-8.70%,0.10%
14,Italy,48,39,37,35,34,32,29,25,23,23,27,28,27,31,36,35,31,37,47,47,50.0,53.0,82.0,100.0,96.0,97.0,90.0,93.0,96.0,102.0,109.0,113.0,124.0,117.0,104,95.0,86.0,115.0,116.0,113.0,127.0,120.0,122.0,108.0,95.0,106.0,110.0,112.0,114.0,120.0,113.0,78.0,86.0,97.0,89.0,-8.70%,-1.10%,0.10%
