Year,World Exajoules,Prediction,Difference,% Difference
2001,87.59,84.6281649529032,-2.9618350470967982,-3.3814762496823816
2002,90.19,86.36230897944307,-3.8276910205569266,-4.244030403101149
2003,92.71,88.51205603933929,-4.197943960660709,-4.528037925424128
2004,96.25,90.66192867936553,-5.588071320634469,-5.805788385074774
2005,98.87,92.98738026885206,-5.8826197311479405,-5.949853070848529
2006,101.43,95.51701815598486,-5.91298184401515,-5.829618302292369
2007,105.57,98.58798528850637,-6.982014711493619,-6.6136352292257445
2008,108.09,102.14200958876366,-5.947990411236347,-5.502812851546255
2009,105.88,104.79502664962581,-1.0849733503741845,-1.024719824682834
2010,113.78,102.90500342184866,-10.87499657815134,-9.557915783223185
