Year,World Exajoules,Prediction,Difference,% Difference
2001,87.59,85.68532774795511,-1.9046722520448895,-2.1745316269492974
2002,90.19,86.53540236040726,-3.654597639592737,-4.0521095904121704
2003,92.71,88.42423584889833,-4.2857641511016595,-4.6227636189210015
2004,96.25,91.37844261580939,-4.871557384190609,-5.061358321236996
2005,98.87,95.07792027121506,-3.792079728784941,-3.8354199744967543
2006,101.43,97.97413398001054,-3.4558660199894717,-3.4071438627521164
2007,105.57,101.2543781414988,-4.3156218585011885,-4.0879244657584435
2008,108.09,104.71307708996629,-3.376922910033713,-3.124176991427248
2009,105.88,107.1687605095047,1.288760509504698,1.217189752082261
2010,113.78,103.8658890048346,-9.914110995165402,-8.713403933174021
