Year,World Exajoules,Prediction,Difference,% Difference
2001,87.59,85.64589241389076,-1.94410758610924,-2.2195542711602236
2002,90.19,86.53540089084335,-3.654599109156649,-4.052111219821099
2003,92.71,88.43696730941923,-4.273032690580763,-4.609031054450181
2004,96.25,91.36501290643581,-4.884987093564192,-5.0753112660407185
2005,98.87,95.00564141926444,-3.864358580735569,-3.9085249122439256
2006,101.43,97.88610891278118,-3.5438910872188245,-3.4939279179915452
2007,105.57,101.14996876245937,-4.420031237540627,-4.186825080553782
2008,108.09,104.59823655681264,-3.4917634431873665,-3.2304222806803278
2009,105.88,107.04414769132947,1.1641476913294753,1.0994972528612348
2010,113.78,103.79183426590674,-9.988165734093258,-8.778489834850815
