Year,World Exajoules,Prediction,Difference,% Difference
2001,88.51,84.44955944684598,-4.060440553154024,-4.587550054405178
2002,90.54,86.2652541093098,-4.2747458906902125,-4.721389320400057
2003,93.79,88.72014524112312,-5.069854758876886,-5.405538712951152
2004,96.86,91.2220366203626,-5.637963379637398,-5.820734441087548
2005,99.16,93.42462832165882,-5.735371678341181,-5.783956916439272
2006,102.53,95.96359748155817,-6.5664025184418335,-6.404371909140577
2007,105.16,99.19286207395824,-5.967137926041758,-5.674341884786761
2008,109.06,102.38770294130546,-6.672297058694539,-6.118005738762643
2009,105.66,105.28274479786026,-0.37725520213973596,-0.35704637719074006
2010,113.26,102.95065458695596,-10.309345413044042,-9.10237101628469
