Year,World Exajoules,Prediction,Difference,% Difference
2001,88.51,84.22071381250248,-4.289286187497524,-4.84610347700545
2002,90.54,86.27672611070733,-4.263273889292677,-4.7087186760466935
2003,93.79,88.39214669478488,-5.397853305215122,-5.7552546169262415
2004,96.86,90.79808905380301,-6.0619109461969884,-6.258425507120574
2005,99.16,93.15247726508537,-6.00752273491463,-6.058413407537949
2006,102.53,95.3882856850059,-7.141714314994104,-6.965487481706919
2007,105.16,98.30215337485694,-6.857846625143054,-6.521345212193852
2008,109.06,101.79200535916267,-7.26799464083733,-6.66421661547527
2009,105.66,104.92339187811484,-0.7366081218851548,-0.6971494623179584
2010,113.26,103.25506152864702,-10.004938471352986,-8.833602747088987
