Year,World Exajoules,Prediction,Difference,% Difference
2001,88.51,85.45795638168985,-3.052043618310151,-3.448247224392894
2002,90.54,86.90988850718253,-3.630111492817477,-4.009400809385329
2003,93.79,88.66608945426545,-5.12391054573456,-5.463173628035569
2004,96.86,91.95580353575092,-4.9041964642490825,-5.063180326501221
2005,99.16,95.80369039869036,-3.3563096013096327,-3.3847414293158864
2006,102.53,98.3839701340745,-4.146029865925499,-4.0437236573934445
2007,105.16,101.81514851090321,-3.344851489096783,-3.1807260261475685
2008,109.06,104.89570567553444,-4.164294324465558,-3.8183516637314856
2009,105.66,107.43895133257077,1.7789513325707702,1.6836563813844125
2010,113.26,103.87804778643294,-9.381952213567061,-8.283553075725818
