Year,World Exajoules,Prediction,Difference,% Difference
2001,88.51,85.4194571789706,-3.090542821029402,-3.4917442334531708
2002,90.54,86.90911190476305,-3.630888095236955,-4.010258554491887
2003,93.79,88.67809799594961,-5.111902004050393,-5.450369979795706
2004,96.86,91.94205254492353,-4.917947455076472,-5.077377095887335
2005,99.16,95.73292562476212,-3.427074375237879,-3.4561056628054447
2006,102.53,98.29966719670544,-4.230332803294559,-4.12594636037702
2007,105.16,101.71523494612462,-3.444765053875372,-3.275737023464599
2008,109.06,104.78720678775278,-4.2727932122472225,-3.917837165090063
2009,105.66,107.31817530056162,1.6581753005616235,1.5693500857104141
2010,113.26,103.80611951229108,-9.453880487708929,-8.347060292873856
