Year,World Barrels,Prediction,Difference,% Difference
2001,77366,75437.7078987025,-1928.2921012974984,-2.4924283293662572
2002,78238,76652.58798953025,-1585.4120104697504,-2.0263963936574942
2003,79908,77995.88470840568,-1912.115291594324,-2.392895944829459
2004,82654,79152.83600651394,-3501.1639934860577,-4.235928077874099
2005,83891,80531.33579415601,-3359.66420584399,-4.004796945851153
2006,84916,81746.85978765754,-3169.140212342463,-3.7320884313232647
2007,86100,82846.65242441258,-3253.347575587424,-3.778568612761236
2008,85170,83956.47396317044,-1213.5260368295567,-1.4248280343190756
2009,84083,84371.03337651104,288.03337651104084,0.3425583964785282
2010,86856,85643.274574234,-1212.7254257659952,-1.3962483026687795
