Year,World Barrels,Prediction,Difference,% Difference
2001,77366,75271.50615948784,-2094.4938405121648,-2.7072536262856612
2002,78238,76236.05851572908,-2001.941484270923,-2.5587840745813066
2003,79908,77679.08931349151,-2228.9106865084905,-2.7893461061576943
2004,82654,78929.01990573175,-3724.9800942682486,-4.506714852600296
2005,83891,80388.35538821352,-3502.6446117864834,-4.175232875739333
2006,84916,81695.55685430094,-3220.443145699057,-3.7925045288273784
2007,86100,82843.10965850935,-3256.8903414906526,-3.782683323450235
2008,85170,84040.14586353718,-1129.8541364628181,-1.326586986571349
2009,84083,84658.87950933941,575.8795093394147,0.6848941038490713
2010,86856,85591.80114194,-1264.198858060001,-1.4555112577829983
