Year,World Barrels,Prediction,Difference,% Difference
2001,77366,75812.33102618084,-1553.6689738191635,-2.008206413436346
2002,78238,77029.90871819454,-1208.091281805464,-1.5441234205954446
2003,79908,78089.06509508136,-1818.9349049186421,-2.276286360462835
2004,82654,79569.42112385675,-3084.5788761432486,-3.7319172407182335
2005,83891,81969.05562510062,-1921.94437489938,-2.291001865396026
2006,84916,83524.27708368948,-1391.7229163105221,-1.638940737093742
2007,86100,85138.48281128511,-961.5171887148899,-1.1167447023401742
2008,85170,86512.49254156463,1342.4925415646285,1.5762504890978377
2009,84083,85690.3098431111,1607.3098431110993,1.9115752805098525
2010,86856,85489.49261500762,-1366.5073849923792,-1.5733022301192539
