Year,World Barrels,Prediction,Difference,% Difference
2001,74943,72718.70225173616,-2224.297748263838,-2.9679860003787386
2002,74145,74743.42832243076,598.4283224307583,0.807105431830546
2003,77305,75213.98291360709,-2091.017086392909,-2.7048924214383403
2004,80979,76399.75124032439,-4579.248759675611,-5.654859605176171
2005,81952,78023.44275961236,-3928.557240387643,-4.793729549477307
2006,82711,79388.28993917635,-3322.7100608236506,-4.017252917778349
2007,82570,80424.91428868972,-2145.085711310283,-2.5978996140369177
2008,83234,81426.43516091368,-1807.5648390863207,-2.171666433292069
2009,81578,82254.74001486207,676.7400148620654,0.8295619099047113
2010,83409,82760.44410290291,-648.5558970970887,-0.7775610510821239
