Year,World Barrels,Prediction,Difference,% Difference
2001,74943,72673.2730052658,-2269.7269947341993,-3.0286043989888305
2002,74145,74393.75725279654,248.75725279653852,0.3355010490208895
2003,77305,74925.50013368373,-2379.4998663162696,-3.078067222451678
2004,80979,76198.89504011358,-4780.104959886419,-5.9028945280707585
2005,81952,77899.66861117321,-4052.3313888267876,-4.944762042203714
2006,82711,79328.3932149641,-3382.606785035896,-4.0896697960802015
2007,82570,80403.77425169082,-2166.2257483091817,-2.6235021779207726
2008,83234,81434.97519581036,-1799.0248041896411,-2.161406161171686
2009,81578,82241.50241531462,663.5024153146223,0.8133349865338969
2010,83409,82773.6195464395,-635.3804535605013,-0.7617648617781071
