Year,World Barrels,Prediction,Difference,% Difference
2001,74943,72952.59207085073,-1990.4079291492671,-2.655895719612595
2002,74145,75046.39705599904,901.3970559990412,1.2157219718106969
2003,77305,75168.53825334097,-2136.461746659028,-2.763678606376079
2004,80979,76811.14623620872,-4167.853763791281,-5.146832837885478
2005,81952,79861.23160792032,-2090.7683920796844,-2.551210943088252
2006,82711,81611.20086063955,-1099.7991393604461,-1.329689085321718
2007,82570,83187.12748166498,617.127481664982,0.7473991542509169
2008,83234,84178.99602943496,944.9960294349585,1.1353485708183655
2009,81578,83642.84647495708,2064.846474957085,2.531131524378
2010,83409,82408.2392873512,-1000.7607126488001,-1.1998234155172705
