Year,World Barrels,Prediction,Difference,% Difference
2001,74943,72949.71726760486,-1993.282732395135,-2.659731705956707
2002,74145,75055.52383571194,910.5238357119379,1.2280313382047852
2003,77305,75207.17399765378,-2097.826002346221,-2.7137002811541566
2004,80979,76793.79413312288,-4185.205866877121,-5.168260742756913
2005,81952,79652.84323744042,-2299.156762559578,-2.805491949628536
2006,82711,81380.64497735049,-1330.3550226495136,-1.6084378409758238
2007,82570,82954.19950601355,384.1995060135523,0.4653015695937414
2008,83234,83988.41846189552,754.4184618955187,0.9063825622888707
2009,81578,83548.80432865772,1970.8043286577158,2.4158527159990633
2010,83409,82438.61771042616,-970.3822895738413,-1.1634023781292682
