Year,Argentina,Australia,Burundi,Benin,Burkina Faso,Bangladesh,Brazil,Botswana,Central African Republic,Chile,Cote d'Ivoire,"Congo, Rep.",Colombia,Costa Rica,Dominican Republic,Algeria,Early-demographic dividend,Ecuador,France,Greece,Guatemala,Guyana,"Hong Kong SAR, China",Honduras,Indonesia,India,Jamaica,"Korea, Rep.",Latin America & Caribbean (excluding high income),Latin America & Caribbean,Sri Lanka,Lower middle income,Morocco,Madagascar,Mexico,Malawi,Malaysia,Niger,Nicaragua,Pakistan,Peru,Philippines,Rwanda,South Asia,Singapore,Sweden,Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),South Asia (IDA & IBRD),Turkey,Uganda,Uruguay,South Africa
1960,23.47923426,31.61924283,6.250000319,11.42497178,8.519938835,6.89426584,19.6780414,6.015737723,19.63635583,14.07684123,16.72493469,53.18682682,20.25478807,17.50043576,12.61154638,42.1845774,17.75819488,25.4143931,25.57757185,16.48514637,10.30088255,28.27278958,27.68868592,13.89840608,7.867760123,15.69046595,29.72405729,10.52189226,20.85603328,20.63379254,14.20656764,16.93303717,10.24347441,6.961362538,18.36883436,10.30927835,11.84793727,6.695547037,14.88343555,13.53198163,46.23941678,18.0559482,6.050418948,14.90743762,11.33308612,33.99055983,10.77441657,14.46365768,20.5953818,14.90743762,9.985315712,10.96419279,22.06896552,21.8813528
1961,27.76644706,33.1889674,6.896551996,10.96284084,8.654232441,7.729411347,21.35613949,7.399437813,21.19205263,15.51360149,19.84098339,64.65345362,20.49257191,18.87822578,8.867142985,47.189529,25.64921025,25.42510388,25.26637125,22.26648788,8.916133456,23.97991212,23.98390342,12.1841662,95.32014465,14.784986,28.312032,12.69515065,21.70363771,21.49185396,17.29101883,17.09466658,9.695464011,5.8355142,17.56372881,12.75060144,13.55204397,6.908799258,14.84132906,14.12838423,45.24515661,20.30195261,6.557376189,14.36484491,11.52646644,33.45777771,8.064521707,13.9594716,21.49185396,14.36484491,10.01390821,10.18033589,23.86363636,20.93064091
1962,21.73093502,28.46526292,7.377048973,11.10921134,8.707800699,11.99040867,19.60466029,8.799062314,23.27869317,12.73327147,13.88956778,36.29847941,18.12659185,19.4533334,11.90389516,35.42061341,17.31804713,23.73171192,25.97792851,23.42551372,8.779293459,16.63674446,28.44480258,14.89361702,5.602576586,16.43267869,26.71761593,14.07368939,19.92645245,19.67209725,15.33395506,17.60006596,11.4344909,5.044498679,16.45494737,8.333333333,16.45177085,9.876606466,17.22341104,15.53227771,45.2358935,20.07269582,7.999999488,16.06500124,15.46672993,33.19184255,10.18519274,16.98796229,19.67209725,16.06500124,10.70983811,11.14815178,19.58762887,19.81878089
1963,18.27287883,30.86856905,6.015037646,11.61682918,8.801236956,9.855628673,19.25988423,9.807095197,21.76655686,15.30431628,17.78283022,22.74108549,17.65442074,18.7944282,16.01828402,28.94066239,17.24118505,23.92028891,26.00714801,27.14220675,10.55590751,16.89346167,33.48997794,15.9556314,8.196210421,15.70913402,24.1679918,18.78736452,19.64830486,19.55736913,17.00455319,17.17598284,12.01055022,6.758229906,18.37339623,9.831254585,19.02654867,12.31646223,17.3864797,18.40649374,40.83064529,21.93558233,7.8125,15.62874139,17.34069064,33.0856233,12.82052214,19.82464169,19.49389234,15.62874139,11.69527897,12.80551578,17.16738197,23.99346308
1964,21.47391262,30.73660399,5.369127352,9.734165832,9.63910844,11.97516625,18.60239795,12.28287051,22.12643584,14.63274762,21.84455323,20.31055597,17.5140548,15.99412272,18.32098463,21.8466084,18.71029373,24.63716129,27.48639672,31.754039,12.8165663,16.05271039,36.24663526,14.61706783,12.08382982,15.90181051,26.92312849,15.41342202,20.27201818,20.08911816,14.44382623,17.23590262,10.45456442,7.070196366,18.86466135,7.692307692,18.76145108,10.79939294,19.62446358,21.01186153,38.2615553,23.77788415,8.307692691,16.09756996,19.8085635,35.56366353,20.14743184,18.52797242,20.01309033,16.09756996,10.93439364,12.08769307,14.32835821,25.29014845
1965,22.42767575,33.58521525,5.766593118,8.777499711,8.711953097,11.47627524,20.02392464,13.26219512,21.40921409,15.45969017,21.87222786,22.42798057,14.72523476,19.50362635,9.773674136,22.60394356,19.22200247,24.36489482,27.18196331,34.84303022,13.30929948,22.23448276,34.89572135,14.61712376,6.692113032,17.85048507,26.51209677,14.76322785,20.98887688,20.8390483,12.53092528,18.18312541,10.61662198,6.500634036,20.26084249,13.97193411,18.38674033,7.970064434,20.9188562,22.72357004,38.04407916,23.43812177,9.81183062,17.65506402,21.70867408,36.29938672,22.44009318,18.63513863,20.72488571,17.65506402,11.3277623,11.23773346,13.66120219,27.27272727
1966,20.54254663,32.65976672,6.767566522,8.778295118,7.972084048,9.016898293,19.89289111,21.81571816,21.13401804,16.83721903,21.82034643,30.25829317,19.05847036,19.05839096,15.85526984,17.32413168,18.83160138,22.38243597,27.96585613,31.42656344,10.75717265,23.86831276,27.64318723,16.03782162,4.526748971,18.34123339,28.01889201,21.69744951,20.84376543,20.78291433,14.33369318,17.71897383,10.09892896,8.53281324,19.45644737,17.41935484,18.10246285,7.842110811,22.98961526,18.87722443,39.7750006,22.21239649,9.664097803,17.54535483,21.73161721,34.76280233,16.38417385,21.77254825,20.70056294,17.54535483,12.84475965,11.49773071,16.51282051,24.78186969
1967,21.21503579,32.96735686,6.851483879,11.82516305,8.022715569,10.70870412,16.91871444,25.44620031,21.83623325,16.64350149,19.78228194,31.50684426,16.99801193,19.35734437,15.52957093,23.43441677,18.90985313,22.90410645,27.98146183,29.54725128,12.94117647,25.8170703,20.1098546,19.65390403,8.008964378,15.7083103,29.27592013,22.20124541,19.62433226,19.64658493,15.23735753,16.80275476,13.25246497,9.264742035,20.1564759,13.51074719,16.3798402,8.668275471,20.99256529,18.97259889,38.84116007,23.5355766,7.307595064,15.5419379,21.9319771,33.66144953,12.63157511,21.90058018,19.54949751,15.5419379,12.64204545,13.46070343,18.78354204,27.44639772
1968,21.69049729,33.03390818,8.189644417,12.3746563,8.270184987,14.15480135,18.91756155,30.73684211,16.21911628,16.95191378,17.81210511,29.58198376,19.09023501,18.02719133,15.37392271,27.86792192,19.7345329,18.35770879,27.51144007,32.0835314,15.1443651,22.26332971,16.61525434,18.49876314,8.804311537,14.37692409,34.87599646,27.09787938,20.54772569,20.49810023,15.85183803,16.04363538,12.58834129,10.31932152,19.3893188,16.10376897,16.37076999,9.71582791,17.73653946,16.06172968,28.74355909,22.58421317,8.188152454,14.43625274,24.63568875,32.61033531,11.01836411,23.27153489,20.40832867,14.43625274,13.3968254,13.09041835,13.85656292,25.40652317
1969,23.9906052,33.68189323,8.288770053,12.66318808,9.610307098,12.50836367,22.35219861,38.25382538,16.365681,15.70381417,19.52529038,26.70537675,17.87734498,20.02899899,18.13084112,32.35273648,20.34780125,22.48402678,28.40894933,36.75987144,11.40841853,20.81829122,16.35540464,19.37125604,11.66298749,16.08781009,35.1566435,29.93410646,22.45660104,22.25670947,19.27319367,17.02127319,14.19449104,10.78345469,19.66480296,18.37471783,13.59422357,6.22264169,18.96940279,15.08138044,27.779647,22.38219104,6.624270031,15.69703977,28.28803653,32.89929858,13.21841363,24.32591561,22.18306219,15.69703977,13.35616438,14.0170121,14.94669081,26.23894544
1970,24.44009525,33.02217036,4.530794619,11.59238015,10.27003377,11.34465694,20.54203211,45.32269761,17.98367251,17.1282883,22.49565293,24.21051829,20.23228489,20.5364402,19.14345338,36.64906885,21.55453684,19.55991545,28.1921749,36.45788462,12.82563025,22.75952203,20.40595516,20.88520055,13.62275449,16.65314139,31.53938421,26.324823,22.45097577,22.25964339,18.94759953,18.05432428,18.48559013,9.912717366,22.73918919,25.73316811,17.50781976,9.849693719,18.59421363,15.79233943,17.13131428,21.34359338,7.048658289,16.14057658,38.17631351,33.54348283,15.09973013,25.59769344,22.12412616,16.14057658,14.70737913,14.00466822,3.396226415,28.55731225
1971,24.11303242,32.14267996,7.607678643,10.28564363,14.87390023,8.227827284,21.11791444,50.44052863,18.74860653,15.23188816,21.8019049,26.60653565,19.41547028,24.336557,17.85778578,35.28134099,21.38470974,22.39885212,27.39029331,38.01793432,14.38432084,18.63144832,24.34316555,17.0998632,15.79520697,17.60451137,32.08827199,24.97673066,22.16306928,22.06345473,17.06761566,18.18843671,17.94463888,11.21947335,20.2417551,19.16996047,20.74874566,7.778458623,17.71517473,15.5381859,19.7833041,21.01872062,9.131804033,16.65649857,40.08860157,30.4244312,18.88467093,24.20860488,21.90109376,16.65649857,13.73195876,16.10194606,17.73915542,30.9564739
1972,23.89154462,30.46938225,3.181696102,13.36363688,17.27749445,4.697696405,21.17081374,50.94413847,18.43350918,12.80811085,20.87534817,29.08213034,18.12682608,22.02706979,19.70816142,34.30249107,21.37785563,23.25351865,27.65277627,41.74701058,12.12582687,19.83981312,23.41911651,15.94022515,18.77738826,16.13595392,27.33652978,21.47995407,22.1153901,21.92847769,17.30176428,16.79705889,15.27950311,8.819759241,20.31323894,24.39324117,21.52601969,11.06927833,12.84808284,14.01605912,16.79258849,20.75119125,9.559471262,15.12668803,40.86457969,29.34313337,20.68557241,21.67666095,21.76600636,15.12668803,16.81079211,11.64319249,17.15711581,26.53185528
1973,20.89381153,28.42985507,5.311823807,13.07596876,20.63106893,8.712006898,23.24408983,50.89997049,20.84581973,8.553731908,23.18011006,31.95364876,18.26986346,23.99334779,22.09706585,40.28419584,19.4109269,20.52541332,28.22529875,48.28359039,13.6851933,27.21774194,22.88334503,19.0684942,17.8872864,19.05803693,31.5018315,26.01089139,23.05933135,22.72761932,13.73614432,19.12375766,16.86300515,9.097383528,21.38209841,22.39010989,23.63937403,14.93725677,23.98171053,12.81188882,22.49450516,21.81348443,9.426229895,17.5353423,38.91261688,28.3336216,21.74393478,26.99594817,22.64561925,17.5353423,15.46703297,8.719973676,34.108299,26.65518938
1974,22.26033179,30.61454739,4.052299601,18.23111591,25.52317181,7.374857223,25.38869013,47.87208464,15.5018227,22.1529249,22.01623856,35.06032775,21.45577944,26.73865196,23.3471306,40.01653621,23.12461045,24.64319804,29.11681402,38.25292933,18.598767,26.4062009,24.18289585,26.19623006,16.78184535,19.2437066,24.32382364,32.59962049,24.57356414,24.50632407,15.7124227,20.34893617,20.45915325,8.660183993,23.17228889,27.32394366,28.48893167,15.05518345,31.49732766,13.18244762,28.5784771,26.94638944,10.4602505,17.69556515,44.49865174,31.13406189,16.38250631,26.63502807,24.50209136,17.69556515,17.89027834,11.61526966,15.85344137,30.03198721
1975,29.44104696,26.84308159,7.580076434,19.30209116,23.104222,6.147905815,26.83887315,41.89986674,13.80130839,13.99438271,22.44457888,39.11192105,16.9925057,21.6410984,24.51005779,45.4068269,24.48359598,20.57484429,24.89401211,36.41777403,16.09479141,33.06105263,22.94662123,18.95017794,20.34170457,18.95751875,25.76911344,28.5263098,26.25518118,25.80439696,15.57737894,21.6029351,25.38793222,8.137158292,23.69229091,33.71719841,23.3790077,14.31416965,21.41920522,16.38559852,27.27403165,30.85317277,13.73886825,17.74262352,38.8077531,31.65953466,27.66440006,26.75041342,25.79191717,17.74262352,18.70927707,8.05236391,18.89773733,32.34229759
