Year,Canada,Mexico,US,Total North America,Argentina,Brazil,Chile,Colombia,Peru,Trinidad & Tobago,Venezuela,Other Caribbean,Other South America,Total S. & Cent. America,Austria,Belgium,Bulgaria,Czech Republic,France,Germany,Hungary,Italy,Netherlands,Poland,Romania,Slovakia,United Kingdom,Other Europe,Total Europe,Total CIS,Iran,Iraq,Israel,Kuwait,Qatar,Saudi Arabia,Other Middle East,Total Middle East,Algeria,Egypt,Morocco,Middle Africa,Western Africa,Other Northern Africa,Total Africa,Australia,China,India,Indonesia,Japan,Pakistan,Taiwan,Other Asia Pacific,Total Asia Pacific,Total World,of which: OECD,                 Non-OECD,                 European Union #
1965,0.78,0.29,14.97,16.04,0.15,^,0.02,0.03,0.01,0.04,0.27,^,^,0.53,0.06,^,^,0.02,0.18,0.11,0.05,0.27,0.05,0.06,0.51,0.01,0.03,0.01,1.36,4.38,0.03,0.02,^,0.06,^,0.02,^,0.14,0.03,^,^,^,^,^,0.03,^,0.04,0.01,0.02,0.07,0.05,0.01,0.01,0.2,22.69,16.98,5.71,1.35
1966,0.85,0.31,16.14,17.3,0.16,^,0.02,0.03,0.01,0.05,0.28,^,^,0.57,0.07,^,^,0.02,0.19,0.13,0.06,0.29,0.1,0.07,0.55,0.01,0.03,0.02,1.55,4.89,0.03,0.02,^,0.08,^,0.03,^,0.17,0.03,^,^,^,0.01,^,0.04,^,0.05,0.01,0.02,0.07,0.06,0.01,0.01,0.22,24.73,18.37,6.35,1.53
1967,0.91,0.26,17.04,18.21,0.17,^,0.02,0.04,0.01,0.05,0.31,^,^,0.61,0.06,0.02,0.01,0.02,0.22,0.17,0.08,0.32,0.18,0.09,0.6,0.01,0.05,0.02,1.85,5.38,0.03,0.02,^,0.09,^,0.03,^,0.2,0.03,^,^,^,0.01,^,0.04,^,0.05,0.01,0.02,0.07,0.07,0.01,0.02,0.26,26.55,19.53,7.02,1.83
1968,1.01,0.28,18.24,19.53,0.19,^,0.02,0.04,0.01,0.06,0.32,^,^,0.64,0.07,0.04,0.01,0.02,0.26,0.28,0.1,0.37,0.31,0.12,0.64,0.03,0.11,0.02,2.4,5.81,0.03,0.02,^,0.11,0.02,0.04,0.01,0.26,0.03,^,^,^,0.01,^,0.04,^,0.05,0.01,0.02,0.08,0.08,0.02,0.02,0.28,28.96,21.36,7.6,2.38
1969,1.13,0.35,19.63,21.11,0.19,^,0.02,0.05,0.01,0.06,0.33,^,^,0.66,0.08,0.09,0.01,0.03,0.3,0.4,0.12,0.41,0.45,0.17,0.74,0.03,0.22,0.03,3.09,6.21,0.04,0.03,0.01,0.13,0.03,0.05,0.01,0.31,0.04,^,^,^,^,^,0.04,0.01,0.07,0.02,0.04,0.08,0.1,0.02,0.02,0.37,31.8,23.56,8.25,3.07
1970,1.25,0.36,20.7,22.3,0.21,^,0.02,0.04,0.01,0.07,0.31,^,^,0.68,0.1,0.14,0.01,0.03,0.34,0.58,0.13,0.44,0.64,0.22,0.77,0.04,0.43,0.04,3.91,6.82,0.09,0.03,^,0.07,0.04,0.06,0.02,0.34,0.04,^,^,^,^,0.01,0.06,0.06,0.1,0.02,0.05,0.13,0.1,0.02,0.02,0.51,34.61,25.61,9,3.87
1971,1.33,0.37,21.34,23.04,0.23,^,0.02,0.05,0.02,0.07,0.3,^,^,0.69,0.12,0.2,0.01,0.04,0.41,0.76,0.14,0.46,0.83,0.24,0.82,0.05,0.69,0.04,4.81,7.46,0.11,0.03,^,0.07,0.04,0.05,0.03,0.38,0.04,^,^,^,0.01,0.01,0.07,0.09,0.14,0.02,0.05,0.14,0.1,0.04,0.02,0.61,37.05,27.24,9.81,4.77
1972,1.5,0.4,21.55,23.45,0.26,0.01,0.02,0.06,0.02,0.07,0.3,^,^,0.73,0.13,0.25,0.01,0.04,0.48,0.98,0.15,0.52,1.08,0.25,0.83,0.06,0.97,0.05,5.86,7.84,0.12,0.03,^,0.09,0.04,0.05,0.04,0.43,0.05,^,^,0.01,0.01,0.02,0.09,0.13,0.18,0.03,0.04,0.14,0.1,0.05,0.02,0.71,39.1,28.72,10.38,5.8
1973,1.59,0.44,21.38,23.41,0.29,0.01,0.02,0.06,0.02,0.07,0.37,^,^,0.83,0.14,0.3,0.01,0.04,0.57,1.27,0.17,0.59,1.2,0.26,0.88,0.07,1.05,0.06,6.66,8.53,0.15,0.03,^,0.1,0.06,0.06,0.06,0.52,0.06,^,^,0.02,0.01,0.04,0.14,0.17,0.22,0.03,0.03,0.19,0.11,0.05,0.04,0.87,40.96,29.51,11.45,6.59
1974,1.61,0.46,20.64,22.71,0.31,0.01,0.02,0.06,0.02,0.06,0.39,^,0.01,0.87,0.15,0.35,0.02,0.05,0.59,1.59,0.19,0.66,1.28,0.27,0.91,0.08,1.26,0.06,7.54,9.04,0.15,0.03,^,0.1,0.05,0.08,0.07,0.55,0.07,^,^,0.02,0.01,0.04,0.16,0.19,0.27,0.03,0.04,0.26,0.12,0.06,0.07,1.09,41.96,29.75,12.21,7.47
