Year,Canada,Mexico,US,Total North America,Argentina,Bolivia,Brazil,Colombia,Peru,Trinidad & Tobago,Venezuela,Other S. & Cent. America,Total S. & Cent. America,Germany,Italy,Netherlands,Poland,Romania,United Kingdom,Other Europe,Total Europe,Total CIS,Bahrain,Iran,Iraq,Kuwait,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,Algeria,Egypt,Libya,Nigeria,Other Africa,Total Africa,Australia,Brunei,China,India,Indonesia,Myanmar,Pakistan,Other Asia Pacific,Total Asia Pacific,Total World,of which: OECD,                 Non-OECD,                 European Union #
1970,1.94,0.4,20.57,22.91,0.21,^,^,0.04,0.01,0.06,0.31,0.03,0.67,0.43,0.45,1.01,0.18,0.78,0.39,0.53,3.78,6.75,0.02,0.13,0.03,0.07,0.04,0.06,0.03,^,0.37,0.09,^,0.01,^,^,0.11,0.06,0.01,0.1,0.02,0.05,^,0.1,0.2,0.54,35.14,26.04,9.1,3.74
1971,2.13,0.39,21.16,23.67,0.23,^,^,0.05,0.02,0.07,0.3,0.03,0.69,0.53,0.46,1.39,0.19,0.84,0.66,0.55,4.61,7.24,0.03,0.3,0.03,0.07,0.04,0.05,0.05,^,0.58,0.09,^,0.02,0.01,0.01,0.13,0.09,0.01,0.14,0.02,0.05,^,0.1,0.22,0.64,37.58,27.62,9.97,4.57
1972,2.4,0.41,21.09,23.9,0.22,0.04,0.01,0.06,0.02,0.07,0.3,0.03,0.73,0.64,0.49,1.85,0.2,0.86,0.95,0.58,5.56,7.55,0.04,0.41,0.03,0.09,0.04,0.05,0.05,^,0.72,0.12,^,0.1,0.01,0.01,0.23,0.13,0.02,0.18,0.03,0.04,^,0.1,0.24,0.75,39.44,28.8,10.64,5.51
1973,2.57,0.44,21.07,24.08,0.24,0.06,0.01,0.06,0.02,0.07,0.37,0.02,0.83,0.71,0.53,2.25,0.2,0.91,1.03,0.62,6.25,8.06,0.06,0.45,0.03,0.1,0.06,0.06,0.06,^,0.82,0.16,^,0.15,0.01,0.03,0.35,0.17,0.07,0.22,0.03,0.06,^,0.11,0.25,0.93,41.33,29.66,11.67,6.19
1974,2.52,0.47,20.14,23.12,0.25,0.06,0.01,0.06,0.02,0.06,0.39,0.02,0.88,0.74,0.53,2.67,0.2,0.93,1.24,0.64,6.94,8.89,0.07,0.47,0.03,0.1,0.05,0.08,0.06,^,0.86,0.18,^,0.14,0.01,0.03,0.37,0.19,0.15,0.27,0.03,0.06,0.01,0.12,0.26,1.13,42.2,29.39,12.81,6.88
1975,2.57,0.47,18.65,21.69,0.27,0.06,0.02,0.05,0.02,0.06,0.38,0.03,0.88,0.69,0.5,2.89,0.2,1.02,1.29,0.63,7.22,9.86,0.08,0.49,0.04,0.11,0.07,0.09,0.06,^,0.95,0.22,^,0.16,0.01,0.02,0.42,0.21,0.19,0.32,0.04,0.09,0.01,0.14,0.25,1.28,42.31,28.17,14.14,7.16
1976,2.6,0.46,18.5,21.56,0.26,0.07,0.02,0.05,0.02,0.06,0.47,0.04,0.99,0.71,0.54,3.09,0.22,1.11,1.36,0.65,7.68,10.94,0.08,0.5,0.06,0.13,0.04,0.1,0.07,^,0.99,0.28,0.01,0.16,0.02,0.02,0.49,0.25,0.26,0.37,0.05,0.09,0.01,0.14,0.28,1.47,44.13,28.47,15.66,7.61
1977,2.73,0.49,18.58,21.8,0.27,0.07,0.02,0.06,0.02,0.07,0.51,0.05,1.07,0.71,0.47,3.1,0.23,1.17,1.43,0.7,7.91,11.8,0.09,0.51,0.04,0.14,0.06,0.14,0.14,^,1.12,0.27,0.02,0.17,0.03,0.02,0.5,0.28,0.29,0.44,0.05,0.21,0.01,0.15,0.32,1.8,45.99,28.93,17.06,7.73
1978,2.63,0.62,18.5,21.75,0.27,0.07,0.03,0.08,0.02,0.09,0.51,0.05,1.13,0.73,0.47,2.84,0.25,1.18,1.37,0.74,8.09,12.69,0.1,0.32,0.04,0.16,0.06,0.19,0.2,^,1.08,0.41,0.03,0.18,0.04,0.02,0.67,0.3,0.29,0.5,0.06,0.4,0.01,0.16,0.3,2.14,47.55,29.08,18.47,7.5
1979,2.77,0.75,19.06,22.59,0.25,0.07,0.03,0.09,0.02,0.09,0.57,0.03,1.17,0.73,0.46,2.98,0.22,1.13,1.38,0.72,8.36,13.87,0.11,0.31,0.06,0.21,0.16,0.24,0.21,^,1.32,0.68,0.04,0.23,0.05,0.02,1.02,0.35,0.3,0.53,0.07,0.58,0.01,0.18,0.27,2.43,50.76,30.23,20.52,7.54
