Year,Australia,Austria,Belgium,Burkina Faso,Bolivia,Canada,Switzerland,Colombia,Costa Rica,Cyprus,Germany,Denmark,Dominican Republic,Ecuador,Euro area,Spain,European Union,Finland,France,United Kingdom,Greece,Guatemala,Honduras,Haiti,Indonesia,India,Ireland,"Iran, Islamic Rep.",Israel,Italy,Jamaica,Japan,"Korea, Rep.",Latin America & Caribbean (excluding high income),Sri Lanka,Luxembourg,Morocco,Mexico,Malta,Myanmar,Malaysia,North America,Nigeria,Netherlands,Norway,New Zealand,OECD members,Pakistan,Panama,Peru,Philippines,Portugal,Paraguay,Post-demographic dividend,Sudan,El Salvador,Sweden,Latin America & the Caribbean (IDA & IBRD countries),Turkey,Uruguay,United States,South Africa
1960,3.728813559,1.945765184,0.299467255,7.788161994,11.53315258,1.358695652,1.43880489,5.814076282,0.790205818,0.827300931,1.53661156,1.255230126,-3.5621918,1.676599126,1.741188372,1.177758035,1.741188372,3.418127254,4.139935755,1.003575704,1.47783379,-1.190693153,-1.746238157,-5.030041596,39.59044369,1.779877847,0.450837269,9.822410813,2.228112421,2.350161414,3.274249138,3.574511525,7.965578039,2.266870992,-1.544676806,0.449620296,3.424299065,4.927518869,3.384615385,7.389937107,0.063182598,1.408335819,5.444327362,2.323943662,0.360492347,0.697929234,1.967082996,6.947368421,0.051177072,8.664459163,4.15482178,3.046592778,8.181818182,1.53661156,0.092240286,-0.038974199,4.141779151,2.08,5.664739884,38.5040374,1.457975986,1.28887812
1961,2.287581699,3.542256991,0.992676261,18.56213873,7.561493072,1.018766756,1.845389885,8.283190456,2.43079391,-0.615384615,2.293675796,3.451628586,-3.900000001,3.985620506,1.870849614,0.809255325,2.077129487,1.691001915,2.400461045,3.44749623,2.103561662,-0.553335383,1.562992374,3.779706383,13.69193154,1.695212939,2.756999359,3.162564396,6.789823404,2.050697313,6.698450536,5.368461785,8.195648958,3.105250147,1.13444364,0.482433591,1.763124605,1.608759691,2.511321531,-0.146412883,-0.180407722,1.044745452,6.279147235,1.307639367,2.155172777,1.79770429,2.156572943,1.640419948,0.613810742,5.916708988,1.595633005,1.54899697,18.48739496,2.077129487,8.760511462,-2.682470368,2.15797311,2.43079391,3.172856997,22.74726399,1.070724148,2.102342706
1962,-0.319488818,4.381780854,1.404607035,1.675909561,5.879331422,1.061571125,4.315998865,4.697093951,2.677859687,0.103199174,2.843280086,7.377819548,9.157127992,2.870885315,2.752672133,5.70648671,3.553503604,4.383982782,5.331280071,4.196498882,-0.475436213,2.052550232,1.092150171,-0.55490426,131.3978495,3.632214971,4.263727121,0.721320572,9.408194068,4.691143607,1.407506702,6.835440348,6.618317756,2.076695284,1.503579953,0.895946647,5.096729081,1.198984178,0.168674699,-1.612903227,0.108440268,1.130172237,5.265632346,2.4311452,5.274259529,2.68085397,4.289862993,-0.516462234,0.788002034,6.641093264,5.796652201,2.662064179,1.418439716,3.519889484,1.662871366,0.096153846,4.766197219,2.100840336,3.888320251,10.90742438,1.198773348,1.246289513
1963,0.641025641,2.708775285,2.148003413,5.574202829,-0.706357215,1.628151261,3.440212018,26.35543553,2.931618471,1.958762887,2.966960863,6.105032823,8.579599619,5.939509059,2.921641663,8.74369245,2.921641663,4.996381886,4.999152898,2.01854356,3.184716045,0.151450899,3.081456019,4.306821754,145.9107807,2.946161357,2.453620587,0.371849607,6.581137365,7.454718225,1.762502754,6.706905564,20.69162906,2.514760284,2.2729054,2.876322462,5.699711687,0.594055008,1.876353139,-2.682563338,3.105253656,1.433910341,-2.694655352,3.243659328,2.471610529,1.968498504,3.075838454,1.456488448,0.449887528,6.070143884,5.62554937,2.021582728,2.097902098,2.874031403,4.688232536,1.569004163,2.871740345,2.931618471,6.362706928,21.25469572,1.239669421,1.337967944
1964,2.866242038,3.868574795,4.168760586,1.845123198,10.18181818,1.912144703,3.080553924,17.07243522,3.32403316,-0.303336705,2.335728095,3.092783505,2.107111501,4.034204538,3.656736639,6.979250995,3.416280397,10.27586074,3.211191703,3.281586947,0.617284452,-0.193563997,4.472101471,9.162145871,108.994709,13.35526115,6.717289719,3.814489572,5.172750423,5.912322532,2.013422819,3.800389453,29.46281568,3.679118849,3.195647176,3.096381512,4.021541474,2.337903172,2.180243999,-0.459418069,-0.402731571,1.595528134,0.856793146,5.823766469,5.867015388,3.474905477,3.459901979,4.179586881,2.413535705,9.792284867,8.183079057,3.444898482,1.369863014,3.334624629,3.950838434,1.757566204,3.387662311,3.32403316,1.119637815,42.3694157,1.278911565,2.534979686
1965,3.405572755,4.93090648,4.065201375,-0.730252523,2.860286029,2.332657201,3.414480925,7.590683669,-0.665000001,0.202839757,3.242329385,5.449999999,-1.891659501,3.069070662,3.666477086,13.21413526,3.986613884,4.940588068,2.703104559,4.773774554,3.220861496,-0.8,3.18627451,2.263942573,306.7631103,9.474758592,4.988123515,2.154374835,7.708333264,4.519268307,2.631578947,6.655990943,13.54820329,2.745932488,0.222783306,3.333679329,3.48282122,3.568038657,1.602218456,17.69230769,-0.105485232,1.958913232,4.103458738,3.908026394,4.18722444,3.397489756,4.353246374,5.568635479,0.461613217,16.38996139,2.564102564,3.424927777,3.859298158,3.666477086,-2.446029391,0.456974673,5.012771296,2.631578947,4.555533684,56.55655656,1.585169264,4.069023471
1966,3.293413174,2.05481781,4.174347619,2.36410602,6.951871658,3.815659068,4.775984441,16.72816827,0.182882838,0.506072874,3.533058578,7.064959697,0.262927257,5.453726928,3.432369175,6.240359156,3.703356298,3.873654019,2.602000766,3.909617792,4.903408334,0.684261974,1.784234657,8.301835853,1136.254112,10.80184835,3.054298641,-0.388148532,7.930367544,2.346588934,1.902398677,5.040832059,11.26138585,2.873194222,-0.15560166,3.331679773,-1.013579365,4.215788377,0.523123579,25.49019608,0.967969025,3.415367223,9.690346084,5.762146554,3.250563343,2.755480775,4.195067998,7.227621598,0.193470375,8.840603749,5.4,5.039267219,2.873194222,3.844656543,1.712463199,-1.187355436,6.404808253,3.483776136,8.471996215,73.46269321,3.015075377,3.489249619
1967,3.47826087,3.974672001,2.730302686,-4.333753909,11.2,3.579952267,4.0051927,8.328191364,1.208340311,0.704934543,1.796045507,8.207853558,1.238344989,3.818138157,2.987546067,6.39164209,3.319317546,5.377781834,2.791777094,2.482115605,1.841330313,0.485436893,2.091840987,-2.935310981,106,13.06220248,3.18331504,1.59761008,1.70609316,3.733338321,3.023538961,3.989848089,10.88244215,2.554394731,2.189239332,2.166156987,-0.748276994,3.016948475,0.693868316,0.833333332,4.57556214,3.176368945,-3.726336765,3.455320053,4.579269758,6.056920063,3.656645294,6.811399634,1.375814627,9.783602561,6.253953194,5.526476008,1.365267592,3.634875153,11.01355589,1.466916355,4.28931923,2.13625866,13.97489295,89.27529729,2.772785623,3.538965883
1968,2.521008403,2.764860589,2.701449829,-0.286713688,5.470623502,4.055299539,2.395827469,7.447538783,4.093891431,3.766666666,1.470304392,8.005207104,0.035976399,4.31765613,3.24282618,4.954360592,3.24282618,9.191667995,4.543204864,4.697427988,0.139057819,1.926328502,1.86122449,1.316211878,128.8430421,3.237412426,4.680851064,0.690360522,2.079221858,1.277313354,5.92869805,5.339432957,10.77181958,3.253567409,5.860566449,2.62542909,0.436479069,2.333950935,2.037300577,2.376033058,-0.158346529,4.163547846,-0.476059059,3.720791771,3.448293243,4.311924966,4.055299539,0.170627348,1.61904762,19.08661855,2.358806459,6.081361711,0.708073578,3.720791771,-10.03389536,2.537680713,1.943125825,3.969454105,6.046239662,125.3369911,4.271796153,1.986127529
1969,3.278688525,3.080397267,3.753992291,9.655529358,2.209748473,4.561558902,2.489025898,6.98166308,2.629340837,2.38515901,1.912663946,3.487919244,0.956628066,6.326681449,2.648069614,2.160340151,2.67462366,2.205610935,6.045962842,5.44666363,2.638886495,2.097280645,1.258214457,1.413181242,15.47987022,-0.58413661,7.418699186,3.593194516,2.458054256,2.657252734,6.303458535,5.249820911,12.38956768,2.441861168,7.456952734,2.29443437,2.949891354,3.367003367,2.334287602,-4.339051463,-0.409015025,5.011972551,10.1559792,7.421797364,2.962949511,4.925242427,3.487919244,3.186986796,1.827553889,6.236158061,1.955510323,8.782771056,2.246847536,3.278688525,12.60686857,-0.19499025,2.691994586,2.435202716,4.924193945,20.96666667,5.4623862,3.23823316
