Year,Canada,Mexico,US,Total North America,Argentina,Brazil,Chile,Colombia,Ecuador,Peru,Trinidad & Tobago,Venezuela,Central America,Other Caribbean,Other South America,Total S. & Cent. America,Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Spain,Sweden,Switzerland,Turkey,United Kingdom,Other Europe ,Total Europe ,Total CIS,Iran,Iraq,Israel,Kuwait,Oman,Qatar,Saudi Arabia,United Arab Emirates,Other Middle East,Total Middle East,Algeria,Egypt,Morocco,South Africa,Eastern Africa,Middle Africa,Western Africa,Other Northern Africa,Other Southern Africa,Total Africa,Australia,China,China Hong Kong SAR,India,Indonesia,Japan,Malaysia,New Zealand,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam,Other Asia Pacific,Total Asia Pacific,Total World,of which: OECD,                 Non-OECD,                 European Union #
1965,1108,316,11522,12946,432,306,71,81,13,74,35,184,78,346,46,1667,107,312,71,8,78,202,111,1065,1709,85,73,9,47,979,16,478,99,109,50,143,45,268,374,164,69,1466,81,8219,3314,143,26,76,109,9,1,390,2,115,870,27,131,21,118,111,40,74,28,1,550,313,215,41,252,122,1705,46,57,76,85,76,25,9,44,48,31,60,3205,30771,23109,7662,7799
1966,1167,333,12100,13601,447,335,77,92,14,95,35,181,79,358,47,1762,118,319,81,9,86,230,135,1145,1916,93,81,10,52,1080,18,522,112,114,52,149,49,319,422,175,83,1574,96,9037,3549,156,28,79,106,9,1,393,2,120,894,35,140,28,128,117,41,80,31,1,601,367,277,45,282,117,1945,54,63,78,92,87,37,10,52,56,69,63,3693,33137,24873,8264,8566
1967,1246,357,12567,14170,460,345,82,93,15,95,37,186,83,373,51,1820,126,350,102,10,95,244,141,1315,1997,109,86,10,58,1199,20,534,117,124,57,170,55,388,421,188,97,1696,117,9826,3866,172,30,83,104,10,2,396,2,124,923,33,116,31,138,123,42,82,33,1,598,401,273,54,289,114,2388,53,66,87,104,104,65,10,61,62,100,67,4300,35503,26682,8821,9302
1968,1322,386,13405,15113,469,412,86,104,18,95,38,201,85,381,52,1941,144,405,120,11,106,264,160,1419,2233,112,90,11,65,1319,22,573,130,154,61,180,61,411,473,208,117,1794,135,10775,4107,189,33,86,101,10,2,399,2,129,951,35,121,34,150,127,43,81,38,1,630,436,298,58,324,121,2765,54,67,99,118,129,95,10,73,81,102,71,4902,38420,28978,9442,10181
1969,1380,410,14153,15943,492,457,92,100,19,94,39,200,90,392,56,2033,159,468,148,13,113,316,185,1642,2521,120,101,10,71,1463,25,625,143,170,65,200,65,469,508,226,129,1930,145,12031,4376,207,36,90,99,11,2,403,2,135,985,38,92,37,165,135,44,90,42,1,644,451,401,70,392,130,3284,56,70,93,127,127,130,10,87,88,124,75,5715,41727,31585,10142,11383
1970,1472,441,14710,16622,448,513,98,116,22,98,41,210,93,446,58,2142,176,512,173,13,137,351,207,1860,2765,130,118,10,79,1659,26,700,161,181,92,218,79,534,551,254,136,2031,173,13323,4826,224,48,94,97,11,2,435,3,131,1044,43,117,39,179,141,45,99,46,1,710,497,554,75,390,138,3876,62,82,92,144,138,162,21,105,103,128,78,6646,45313,34178,11135,12596
1971,1512,467,15223,17202,480,564,108,120,24,98,42,212,98,456,63,2265,196,525,189,16,151,347,215,2022,2888,143,133,11,88,1790,27,696,160,191,104,222,87,593,521,270,160,2037,218,14000,5127,246,52,98,96,24,2,441,3,136,1098,49,122,41,195,168,53,129,43,1,801,523,753,80,416,142,4285,68,85,87,168,121,183,19,145,114,109,81,7393,47886,35839,12047,13188
1972,1589,523,16381,18493,479,649,114,135,25,84,67,231,106,486,73,2450,212,567,197,18,165,366,228,2238,3037,165,144,12,96,1886,29,777,168,214,112,236,95,623,533,276,181,2155,227,14952,5547,274,64,102,104,27,2,470,4,133,1180,54,140,43,212,175,56,138,50,1,868,532,865,90,447,154,4571,75,91,71,164,150,191,20,156,143,112,91,7940,51430,38369,13061,14096
1973,1682,564,17318,19564,483,797,110,131,27,100,68,257,112,527,74,2686,230,598,208,19,185,341,255,2499,3249,192,163,13,104,1983,32,808,172,238,124,265,106,745,548,297,223,2228,248,16076,5981,329,62,108,99,24,3,501,6,144,1276,59,132,51,234,184,58,153,64,1,935,570,1058,94,474,184,5265,82,96,73,193,143,235,21,200,151,110,90,9058,55577,41284,14293,15129
1974,1713,629,16631,18973,483,860,105,145,31,118,67,259,113,524,66,2772,207,529,216,17,189,309,223,2375,2957,180,178,13,103,1927,29,698,156,250,131,244,109,776,488,265,216,2069,279,15134,6588,383,62,110,91,22,4,526,8,154,1361,66,146,55,228,183,60,159,70,1,967,604,1217,96,464,193,5068,82,93,79,180,140,244,17,180,154,68,99,8996,54790,39574,15217,14212
