Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.13828189,28.46004056,30.23142172,31.70577045,30.8709032,25.49590276,23.71254001,26.90647482,29.21503593,28.77914264,33.5810163,35.16129032,32.51442,33.25193325,30.29286832,28.93199346,28.50569676,26.64756447,23.73862696,23.27272727,21.56525067,21.39762667,20.8005849,,
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.11570974,16.59919818,19.10570205,14.20118961,13.88889367,11.25827913,8.412698137,5.179282607,6.472491752,6.466876819,5.463794077,5.461171067,6.545961749,7.307692214,8.762886524,9.765258427,13.65217359,12.41534931,13.87205375,,,,,,,,,,,,,,,,,,,,,,,,12.55728578,12.7588963,19.00533967,23.19375844,26.40797297,20.06892061,19.02132046,17.99143563,17.95907156,16.67459153,16.90625457,17.34351423,18.15685477,19.45468731,17.80878963,19.17422546,18.95852087,17.75495485
Angola,AGO,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,30.49321898,30.49321894,30.49317313,30.45111061,30.89366873,27.55657979,23.30077092,25.73057936,30.80405318,42.82085881,28.19730976,26.42435369,26.66757886,26.14296935,27.50046187,34.20248913,27.21470844,24.13030458,17.86942115,
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,35.80583472,36.38611565,39.28290013,37.37334629,32.92553508,33.93195914,32.03483542,29.45386952,29.95754207,32.8770716,30.36094681,7.603111096,5.656684102,13.67613745,18.8965849,21.27851346,18.06378369,16.65949645,19.74258124,19.7347081,30.79625919,34.98868158,35.26404597,33.89688681,34.19676704,36.86966605,35.69751463,34.4619786,35.77842222,34.55780209,30.3086562,31.41357955,28.32854963,28.05250299,25.67469944,25.81905784,25.22382457,25.09450113,,
Andorra,AND,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.91634073,23.99943517,23.26891997,23.72201207,22.38421396,22.45867003,21.0104711,20.37139531,23.25909983,20.46845714,20.22724674,22.63177692,21.73300681,22.34547828,21.93868305,22.28189746,23.39861042,26.61725062,27.59724631,29.43601145,27.53557607,24.91229068,24.07993724,24.97468202,26.03476148,29.72579822,29.60978965,28.09634773,26.09336482,
United Arab Emirates,ARE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.50259715,22.54568155,22.12976184,19.97851906,20.16684881,19.27039968,25.19918282,25.09809154,31.63354876,27.12111432,23.16147556,21.88480699,19.25797698,22.16843565,25.63917945,26.01972721,25.29562063,23.51150299,23.83282003
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.47923426,27.76644706,21.73093502,18.27287883,21.47391262,22.42767575,20.54254663,21.21503579,21.69049729,23.9906052,24.44009525,24.11303242,23.89154462,20.89381153,22.26033179,29.44104696,30.72943959,30.9416888,27.80015957,25.85676946,25.25778629,22.69108872,21.75494795,20.88775231,19.96409245,17.58906692,17.46176421,19.554866,18.6400389,15.51469828,13.99698158,14.6369774,16.70240577,19.68811042,19.96562325,18.50041051,19.62387245,20.82605155,20.97076915,17.86292788,17.53348744,15.62596533,10.85390524,14.1469621,17.55127036,18.88826414,18.68048724,20.0991132,19.57277588,16.05311236,17.70553381,18.39845892,16.50198653,17.3057789,17.26288101,17.07070488,17.66322786,18.75723171,20.96583763,18.16636754
Armenia,ARM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.14768436,39.77914418,1.631258261,9.872203034,27.94215793,20.80856934,21.09544717,23.26567929,22.68635187,20.76888047,21.9223314,22.90435529,25.41829676,28.34794998,29.1225577,35.76543899,42.22545768,44.35162298,47.94283582,41.1450508,38.81475499,31.92179898,25.32790588,22.26353269,20.87186577,20.73053013,18.01550867,19.28968627,22.39973933,17.44758603
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
