Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,0.78,0.85,0.91,1.01,1.13,1.25,1.33,1.5,1.59,1.61,1.66,1.68,1.76,1.78,1.8,1.79,1.74,1.84,1.75,1.95,2.04,1.97,1.99,2.19,2.37,2.3,2.31,2.45,2.6,2.69,2.78,2.83,2.88,2.84,3.03,3.21,3.03,3.15,3.23,3.16,3.12,3.07,3.27,3.22,3.12,3.18,3.51,3.5,3.75,3.95,3.95,3.82,3.94,4.26,4.33,1.70%,2.80%,3.10%
Mexico,0.29,0.31,0.26,0.28,0.35,0.36,0.37,0.4,0.44,0.46,0.47,0.46,0.49,0.62,0.75,0.8,0.87,0.94,0.97,0.97,0.99,0.88,0.9,0.91,0.89,0.97,1.02,1.02,1.02,1.08,1.1,1.13,1.13,1.21,1.22,1.29,1.3,1.48,1.6,1.73,1.9,2.1,2.05,2.16,2.35,2.38,2.55,2.65,2.8,2.84,2.91,2.99,3.1,3.15,3.26,3.50%,3.90%,2.30%
US,14.97,16.14,17.04,18.24,19.63,20.7,21.34,21.55,21.38,20.64,18.94,19.32,18.93,18.99,19.62,19.21,18.75,17.43,16.35,17.47,16.81,15.75,16.75,17.52,18.61,18.61,19.02,19.67,20.16,20.63,21.53,21.92,22.05,21.68,21.75,22.62,21.62,22.32,21.68,21.77,21.43,21.12,22.47,22.64,22.23,23.33,23.7,24.77,25.45,26,26.77,26.97,26.64,29.52,30.48,3.30%,2.70%,21.50%
Total North America,16.04,17.3,18.21,19.53,21.11,22.3,23.04,23.45,23.41,22.71,21.08,21.46,21.17,21.38,22.17,21.81,21.36,20.21,19.07,20.38,19.84,18.6,19.64,20.62,21.87,21.87,22.35,23.14,23.78,24.41,25.41,25.87,26.07,25.72,26,27.13,25.95,26.95,26.51,26.66,26.44,26.28,27.79,28.02,27.7,28.89,29.76,30.92,32.01,32.79,33.63,33.78,33.67,36.93,38.07,3.10%,2.80%,26.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0.15,0.16,0.17,0.19,0.19,0.21,0.23,0.26,0.29,0.31,0.32,0.35,0.37,0.36,0.37,0.4,0.42,0.48,0.52,0.55,0.56,0.61,0.61,0.71,0.74,0.71,0.72,0.78,0.83,0.85,0.94,1.08,1,1.07,1.13,1.16,1.09,1.06,1.21,1.33,1.41,1.46,1.54,1.55,1.51,1.52,1.58,1.64,1.66,1.66,1.68,1.74,1.74,1.75,1.71,-2.50%,1.20%,1.20%
Brazil,^,^,^,^,^,^,^,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.03,0.05,0.06,0.07,0.09,0.11,0.12,0.12,0.12,0.11,0.12,0.13,0.16,0.17,0.19,0.21,0.23,0.24,0.28,0.35,0.44,0.52,0.58,0.7,0.72,0.76,0.78,0.92,0.74,0.99,0.99,1.17,1.38,1.46,1.55,1.34,1.35,1.29,1.29,-0.20%,3.40%,0.90%
Chile,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.06,0.06,0.07,0.08,0.08,0.08,0.07,0.08,0.1,0.14,0.2,0.25,0.29,0.29,0.31,0.34,0.33,0.3,0.18,0.1,0.1,0.21,0.21,0.19,0.19,0.16,0.17,0.21,0.2,0.23,0.23,1.10%,8.80%,0.20%
