Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.758616984,4.312935694,1.780590429,2.999526964,3.030144117,2.622424855,3.119213993,2.53572313,2.550026172,2.654241076,7.055293341,8.598224048,,
Angola,AGO,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52433546,3.091564092,21.08157208,7.153502967,7.749277521,7.687416546,6.537796378,3.551998261,4.125171271,4.846148961,12.04625302,6.013950986,3.631329536,3.748300794,4.295908426,5.174118074,6.740551844,8.063090323,7.445482355,,
Albania,ALB,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.06978672,33.26405546,34.16402033,36.06910942,,,,43.07440695,45.67802502,48.69625951,,,,,,,55.57162216,55.40508211,54.17478974,55.58132901,54.62769396,55.92681301,53.29478882,53.13271925,
Andorra,AND,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11897242,15.56318967,17.21818272,,,,,,,,,,,,6.989004665,8.166583575,8.263178349,8.269640201,0.982608883,0.655504571,1.31561238,1.263103205,
Argentina,ARG,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.96024751,27.52426704,29.98210731,33.87928717,33.39614013,36.48206939,39.25377424,40.74145675,41.78904136,42.11198043,43.86411637,43.82531463,37.44587073,34.25135202,37.16692016,37.23322265,35.8916893,33.92856589,31.67697457,29.45870837,28.60367702,29.65388704,29.57419684,29.16548314,27.59453436,28.00003496,27.24161151,30.25226551,33.34822011,
Armenia,ARM,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.32118082,32.26068978,30.1708626,41.05081187,43.44918958,40.57230701,42.50342505,39.51428508,42.15187513,41.70772252,44.15907428,39.48396096,37.80930724,38.46832618,40.07776297,
American Samoa,ASM,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,21.89941675,22.12361985,21.68448543,19.06154629,20.66638325,19.39980989,19.41106017,22.25170584,23.3736911,23.03442532,22.03640881,23.64841298,25.30225725,24.53676284,23.96558479,22.73048841,22.76012169,21.78778926,21.42076945,21.23162313,20.27928369,20.1495438,21.38702116,21.57676349,21.48978352,20.51806002,20.24275536,19.29250568,17.90589154,24.27576129,25.43344668,25.82070914,25.3209955,24.17979737,23.62786903,23.18546496,22.56326021,22.65944108,24.35742524,23.97310548,22.18072214,23.02320827,23.48768857,21.32371574,21.65815233,21.11279567,20.44333023,19.44529279
Austria,AUT,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,28.20261667,29.76190476,28.32568202,27.26166723,28.05469784,27.24482569,25.91289956,26.0668429,25.47985475,25.36997333,25.4697286,26.23790825,27.11337725,26.91968411,26.73434516,26.8596882,25.91415801,26.1254777,25.53116993,24.83429596,24.55297571,23.96858344,25.24039343,27.06049847,27.44969109,27.85810712,27.84201555,28.03037088,28.004521,27.17599754,28.08668614,28.00875916,28.03255079,27.66515702,27.12215192,26.76932358,26.41486132,27.01840716,27.21379349,27.34036032,27.36081187,26.73429516,26.59063827,26.34902095,26.98409367,27.16729457,26.70599181,
Azerbaijan,AZE,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.45169521,33.92186934,26.78340652,40.28324364,37.30983282,39.16282958,,,,,,,,,12.64781387,17.81224669,13.55322037,12.09193772,13.62504368,14.8616056,17.60835864,23.67378532,22.40241891,19.48961559,17.73861573,
