Thousand barrels daily,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,920,1012,1106,1194,1306,1473,1582,1829,2114,1993,1735,1598,1608,1597,1835,1764,1610,1590,1661,1775,1813,1805,1909,2002,1961,1968,1984,2066,2189,2281,2402,2480,2588,2672,2604,2884,2895,3011,3157,3230,3188,3359,3433,3341,3331,3457,3637,3860,4128,4418,4572,4655,5037,5501,5651,2.70%,5.10%,5.90%
Mexico,362,370,411,439,461,487,486,506,525,653,806,894,1085,1327,1607,2129,2553,3001,2930,2942,2912,2758,2879,2877,2897,2941,3100,3098,3115,3136,3055,3270,3409,3499,3352,3456,3568,3593,3795,3830,3766,3689,3479,3165,2978,2959,2940,2911,2875,2784,2587,2456,2224,2068,1918,-7.30%,-4.20%,2.00%
US,9014,9579,10219,10600,10828,11297,11156,11185,10946,10461,10008,9736,9863,10274,10136,10170,10181,10199,10247,10509,10580,10231,9944,9765,9159,8914,9076,8868,8583,8389,8322,8295,8269,8011,7731,7733,7670,7624,7368,7250,6901,6825,6857,6783,7267,7558,7883,8926,10099,11801,12781,12349,13135,15360,17045,11.00%,8.50%,17.90%
Total North America,10296,10961,11736,12233,12595,13257,13224,13520,13585,13107,12549,12228,12556,13198,13578,14063,14344,14790,14838,15226,15305,14794,14732,14644,14018,13823,14159,14032,13887,13806,13779,14045,14265,14182,13688,14072,14132,14228,14320,14310,13854,13873,13768,13290,13576,13975,14460,15697,17101,19004,19940,19460,20396,22929,24614,7.30%,5.60%,25.90%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,276,293,319,348,362,399,432,444,434,423,406,408,442,466,487,506,519,517,520,509,491,465,459,481,492,517,526,587,630,695,758,823,877,890,835,848,921,908,913,874,842,849,814,802,730,712,667,657,644,638,646,610,590,591,620,4.90%,-3.00%,0.70%
Brazil,96,117,147,161,176,167,175,171,174,182,177,172,167,166,172,188,220,268,339,474,561,591,590,574,613,651,643,653,667,692,715,808,869,1003,1132,1276,1339,1498,1558,1543,1706,1806,1820,1887,2019,2125,2173,2132,2096,2341,2525,2591,2721,2679,2877,7.40%,3.60%,3.00%
Colombia,203,199,192,176,214,226,224,203,192,175,164,153,144,137,129,131,140,147,158,173,183,307,388,380,407,446,430,442,458,460,591,635,667,775,838,687,604,578,541,528,526,527,531,588,671,786,915,944,1010,990,1006,886,854,865,886,2.40%,3.90%,0.90%
